breakpoints,primitives,points,q_bp
0,movej_fit,"[array([1022.36735197, -841.09811283,  972.82895956])]","[array([-0.84899467, -0.23970751,  0.58135615,  0.37814708,  1.20903987,
       -2.87619581])]"
166,movel_fit,"[array([1021.54386235, -835.80764287,  970.60852854])]","[array([-0.85116884, -0.24192374,  0.58637384,  0.38757312,  1.2104645 ,
       -2.87658868])]"
333,movel_fit,"[array([1020.74421358, -830.4293723 ,  968.40665073])]","[array([-0.85264677, -0.24382575,  0.59089542,  0.39572094,  1.21226821,
       -2.87485927])]"
500,movel_fit,"[array([1019.97877182, -825.02772944,  966.25092731])]","[array([-0.85352324, -0.24546842,  0.59496686,  0.40272366,  1.21433299,
       -2.87142008])]"
666,movel_fit,"[array([1019.25198637, -819.63573014,  964.15425746])]","[array([-0.85392718, -0.2468923 ,  0.59865169,  0.40881007,  1.21659276,
       -2.86667669])]"
833,movel_fit,"[array([1018.55526477, -814.18889549,  962.09177821])]","[array([-0.85396943, -0.24815364,  0.60206509,  0.41426795,  1.21903402,
       -2.86087774])]"
1000,movel_fit,"[array([1017.89324136, -808.72014795,  960.07664847])]","[array([-0.85373342, -0.24927593,  0.60524384,  0.41923439,  1.22161041,
       -2.85430076])]"
1166,movel_fit,"[array([1017.269707  , -803.2629549 ,  958.12088068])]","[array([-0.8532931 , -0.25028095,  0.60822099,  0.42382541,  1.2242778 ,
       -2.84719624])]"
1333,movel_fit,"[array([1016.67727235, -797.75211465,  956.20126735])]","[array([-0.85269982, -0.25120411,  0.61107443,  0.42821031,  1.22704497,
       -2.83964464])]"
1500,movel_fit,"[array([1016.11990482, -792.22100851,  954.33007241])]","[array([-0.8520007 , -0.25205892,  0.61382065,  0.43245084,  1.22987624,
       -2.83182027])]"
1666,movel_fit,"[array([1015.60071506, -786.70352103,  952.51838126])]","[array([-0.85123535, -0.25285742,  0.6164722 ,  0.43659173,  1.23273749,
       -2.82387529])]"
1833,movel_fit,"[array([1015.1135165, -781.1337799,  950.7446603])]","[array([-0.85042058, -0.25362299,  0.61908344,  0.44073461,  1.23564924,
       -2.81579293])]"
2000,movel_fit,"[array([1014.66159094, -775.54558734,  949.02024083])]","[array([-0.8495797 , -0.25436193,  0.62165561,  0.44489172,  1.23858285,
       -2.8076793 ])]"
2166,movel_fit,"[array([1014.24735581, -769.97320135,  947.35524968])]","[array([-0.84873072, -0.25507879,  0.62418645,  0.44906298,  1.24151141,
       -2.79962439])]"
2333,movel_fit,"[array([1013.86582651, -764.35013195,  945.72984424])]","[array([-0.84787134, -0.25578894,  0.62671556,  0.45331404,  1.24446299,
       -2.7915588 ])]"
2500,movel_fit,"[array([1013.51958838, -758.71055692,  944.15439384])]","[array([-0.84701077, -0.25649293,  0.62923362,  0.45762772,  1.24741444,
       -2.78354796])]"
2666,movel_fit,"[array([1013.21036071, -753.08905843,  942.63804448])]","[array([-0.84615531, -0.2571899 ,  0.631729  ,  0.46197951,  1.25034408,
       -2.77564771])]"
2833,movel_fit,"[array([1012.93435766, -747.41858388,  941.16265836])]","[array([-0.8452936 , -0.25789032,  0.63423313,  0.46641945,  1.25328438,
       -2.76776512])]"
3000,movel_fit,"[array([1012.69346461, -741.73363699,  939.73762225])]","[array([-0.8444282 , -0.258591  ,  0.63673076,  0.47091609,  1.25621576,
       -2.75994586])]"
3166,movel_fit,"[array([1012.48870509, -736.06907214,  938.37108849])]","[array([-0.84356077, -0.25928803,  0.6392057 ,  0.47543473,  1.25911961,
       -2.75223131])]"
3333,movel_fit,"[array([1012.31748516, -730.35733166,  937.04663301])]","[array([-0.84267672, -0.2599895 ,  0.64168575,  0.48002141,  1.26203024,
       -2.744522  ])]"
3500,movel_fit,"[array([1012.18099344, -724.63319367,  935.77264838])]","[array([-0.84177689, -0.26069059,  0.64415349,  0.48464027,  1.26492979,
       -2.7368574 ])]"
3666,movel_fit,"[array([1012.0795666 , -718.93173249,  934.55628942])]","[array([-0.84086255, -0.2613863 ,  0.64659166,  0.48925478,  1.2678008 ,
       -2.72927603])]"
3833,movel_fit,"[array([1012.01179116, -713.18494503,  933.38284889])]","[array([-0.83991864, -0.26208417,  0.64902707,  0.49391245,  1.27067773,
       -2.72168014])]"
4000,movel_fit,"[array([1011.97816825, -707.42783239,  932.25972206])]","[array([-0.83894697, -0.26277926,  0.6514426 ,  0.4985782 ,  1.27354301,
       -2.71411013])]"
4166,movel_fit,"[array([1011.97836223, -701.69563792,  931.19307088])]","[array([-0.83795044, -0.26346687,  0.65382195,  0.50321767,  1.27637922,
       -2.70660697])]"
4333,movel_fit,"[array([1012.01212371, -695.9199741 ,  930.16990139])]","[array([-0.83691442, -0.26415497,  0.65619216,  0.50788144,  1.27921995,
       -2.6990775 ])]"
4500,movel_fit,"[array([1012.0792809 , -690.1360151 ,  929.19661656])]","[array([-0.8358427 , -0.2648394 ,  0.65853763,  0.51253722,  1.28204724,
       -2.69156556])]"
4666,movel_fit,"[array([1012.17884519, -684.37912504,  928.27839791])]","[array([-0.83474041, -0.26551641,  0.66084385,  0.51715394,  1.2848432 ,
       -2.68411589])]"
4833,movel_fit,"[array([1012.31170987, -678.58059335,  927.40395409])]","[array([-0.83359317, -0.26619478,  0.66313835,  0.52178485,  1.28764015,
       -2.67663983])]"
5000,movel_fit,"[array([1012.47704929, -672.77571998,  926.5787082 ])]","[array([-0.83240681, -0.26687141,  0.66540734,  0.52640057,  1.2904196 ,
       -2.6691845 ])]"
5166,movel_fit,"[array([1012.67324527, -666.99994499,  925.80688056])]","[array([-0.83118846, -0.26754352,  0.66763803,  0.5309728 ,  1.29316324,
       -2.66179735])]"
5333,movel_fit,"[array([1012.90230732, -661.18429546,  925.07886468])]","[array([-0.82992341, -0.26822074,  0.66985821,  0.53555636,  1.2959021 ,
       -2.65439308])]"
5500,movel_fit,"[array([1013.1627789 , -655.36415315,  924.39912271])]","[array([-0.82861909, -0.26890078,  0.67205552,  0.54012388,  1.29861741,
       -2.64702047])]"
5666,movel_fit,"[array([1013.4524387 , -649.57499331,  923.77093891])]","[array([-0.82728402, -0.26958146,  0.67421837,  0.54464866,  1.30129084,
       -2.6397278 ])]"
5833,movel_fit,"[array([1013.77438149, -643.74763965,  923.18636681])]","[array([-0.82590258, -0.27027304,  0.67637429,  0.54918592,  1.30395227,
       -2.63243174])]"
6000,movel_fit,"[array([1014.12654571, -637.91751562,  922.64893221])]","[array([-0.82448319, -0.27097355,  0.67851174,  0.55370911,  1.30658312,
       -2.62518082])]"
6166,movel_fit,"[array([1014.50613592, -632.12009519,  922.16101326])]","[array([-0.82303516, -0.27168083,  0.68061957,  0.558192  ,  1.30916563,
       -2.61802224])]"
6333,movel_fit,"[array([1014.91729686, -626.28605508,  921.71629202])]","[array([-0.82154146, -0.27240547,  0.6827246 ,  0.56268921,  1.31172865,
       -2.6108736 ])]"
6500,movel_fit,"[array([1015.35739026, -620.45082437,  921.31738718])]","[array([-0.82001101, -0.27314521,  0.68481537,  0.56717408,  1.31425441,
       -2.60378158])]"
6666,movel_fit,"[array([1015.82307718, -614.64984371,  920.96580457])]","[array([-0.81845348, -0.27389731,  0.68688056,  0.57161999,  1.31672617,
       -2.59679091])]"
6833,movel_fit,"[array([1016.31951337, -608.81369585,  920.65681713])]","[array([-0.81685013, -0.27467245,  0.68894591,  0.57608035,  1.31917195,
       -2.58981957])]"
7000,movel_fit,"[array([1016.84351383, -602.97778368,  920.39216936])]","[array([-0.81521009, -0.27546755,  0.69099951,  0.58052783,  1.32157521,
       -2.58291139])]"
7166,movel_fit,"[array([1017.39122791, -597.17748684,  920.17253146])]","[array([-0.8135432 , -0.27627881,  0.69302947,  0.58493505,  1.32392063,
       -2.576108  ])]"
7333,movel_fit,"[array([1017.96878019, -591.34334319,  919.99472404])]","[array([-0.81182888, -0.27711684,  0.69506023,  0.58935393,  1.32623544,
       -2.56932763])]"
7500,movel_fit,"[array([1018.57247002, -585.51070174,  919.85965314])]","[array([-0.8100764 , -0.2779774 ,  0.69707919,  0.59375632,  1.3285046 ,
       -2.56261097])]"
7666,movel_fit,"[array([1019.19796734, -579.71485776,  919.76719194])]","[array([-0.8082958 , -0.27885538,  0.69907373,  0.59811418,  1.33071442,
       -2.55599661])]"
7833,movel_fit,"[array([1019.85232083, -573.88634884,  919.71566071])]","[array([-0.80646469, -0.27976131,  0.70106697,  0.60247787,  1.33289128,
       -2.5494032 ])]"
8000,movel_fit,"[array([1020.53134583, -568.0604466 ,  919.70516467])]","[array([-0.80459258, -0.28068962,  0.70304562,  0.60681868,  1.33502174,
       -2.5428686 ])]"
8166,movel_fit,"[array([1021.23026523, -562.2723426 ,  919.73481981])]","[array([-0.80268991, -0.28163392,  0.70499651,  0.61110822,  1.33709369,
       -2.53642884])]"
8333,movel_fit,"[array([1021.95700502, -556.45261414,  919.80439388])]","[array([-0.80073252, -0.28260468,  0.70694145,  0.61539542,  1.33913257,
       -2.53000335])]"
8500,movel_fit,"[array([1022.70692827, -550.63643583,  919.91323015])]","[array([-0.79873045, -0.28359512,  0.70886672,  0.61965144,  1.34112643,
       -2.5236278 ])]"
8666,movel_fit,"[array([1023.47484286, -544.85888007,  920.05972769])]","[array([-0.79669477, -0.28459776,  0.71075893,  0.62384811,  1.34306459,
       -2.51733646])]"
8833,movel_fit,"[array([1024.26950382, -539.050599  ,  920.24504625])]","[array([-0.79459965, -0.2856231 ,  0.71263867,  0.62803298,  1.34497139,
       -2.51104986])]"
9000,movel_fit,"[array([1025.08585338, -533.24665438,  920.46780648])]","[array([-0.7924559 , -0.2866634 ,  0.71449217,  0.63217766,  1.34683618,
       -2.5048023 ])]"
9166,movel_fit,"[array([1025.91831579, -527.48198763,  920.72573076])]","[array([-0.79027554, -0.28771043,  0.71630624,  0.63625475,  1.34864939,
       -2.49862712])]"
9333,movel_fit,"[array([1026.77642581, -521.68735594,  921.02131265])]","[array([-0.78803112, -0.28877481,  0.71810036,  0.64031049,  1.35043419,
       -2.49244619])]"
9500,movel_fit,"[array([1027.65473574, -515.89769593,  921.35248955])]","[array([-0.78573448, -0.2898482 ,  0.71986112,  0.64431744,  1.35218093,
       -2.48629322])]"
9666,movel_fit,"[array([1028.54731662, -510.14780954,  921.71634673])]","[array([-0.78339881, -0.29092198,  0.72157596,  0.64824946,  1.35388086,
       -2.48020134])]"
9833,movel_fit,"[array([1029.46443316, -504.36858447,  922.11665154])]","[array([-0.78099505, -0.29200696,  0.72326327,  0.6521515 ,  1.3555559 ,
       -2.4740939 ])]"
10000,movel_fit,"[array([1030.4002777 , -498.59482317,  922.55069695])]","[array([-0.77853629, -0.29309457,  0.72491044,  0.65599746,  1.3571971 ,
       -2.4680046 ])]"
10166,movel_fit,"[array([1031.34859747, -492.86118269,  923.01496985])]","[array([-0.77603705, -0.29417619,  0.7265059 ,  0.6597628 ,  1.35879628,
       -2.46196697])]"
10333,movel_fit,"[array([1032.32033715, -487.09870199,  923.51444999])]","[array([-0.77346663, -0.29526281,  0.72806693,  0.6634911 ,  1.36037406,
       -2.45590573])]"
10500,movel_fit,"[array([1033.30935816, -481.34204338,  924.04582393])]","[array([-0.77083948, -0.29634595,  0.729582  ,  0.6671579 ,  1.36192196,
       -2.44985505])]"
10666,movel_fit,"[array([1034.30911208, -475.62571636,  924.60501772])]","[array([-0.76817151, -0.2974173 ,  0.73104081,  0.67074045,  1.36343219,
       -2.44384913])]"
10833,movel_fit,"[array([1035.33117379, -469.88092747,  925.19816142])]","[array([-0.76543036, -0.29848798,  0.73245947,  0.67428079,  1.36492404,
       -2.43781394])]"
11000,movel_fit,"[array([1036.36910167, -464.14219566,  925.82137217])]","[array([-0.76263187, -0.29954986,  0.73382771,  0.67775623,  1.36638938,
       -2.43178429])]"
11166,movel_fit,"[array([1037.4160786 , -458.44388265,  926.47005133])]","[array([-0.75979331, -0.30059511,  0.73513666,  0.68114584,  1.36782062,
       -2.42579515])]"
11333,movel_fit,"[array([1038.48426036, -452.71737474,  927.15141699])]","[array([-0.75688062, -0.30163491,  0.7364011 ,  0.68448997,  1.36923585,
       -2.41977352])]"
11500,movel_fit,"[array([1039.56692901, -446.9970467 ,  927.86105261])]","[array([-0.75391097, -0.30266161,  0.73761214,  0.68776767,  1.37062716,
       -2.41375487])]"
11666,movel_fit,"[array([1040.65702443, -441.31711442,  928.59386962])]","[array([-0.75090295, -0.303668  ,  0.73876235,  0.69095977,  1.37198711,
       -2.40777484])]"
11833,movel_fit,"[array([1041.76723469, -435.6091522 ,  929.35811205])]","[array([-0.74782073, -0.30466513,  0.73986504,  0.69410472,  1.37333269,
       -2.4017612 ])]"
12000,movel_fit,"[array([1042.89059111, -429.90739199,  930.14886411])]","[array([-0.74468271, -0.30564591,  0.74091269,  0.69718322,  1.37465617,
       -2.39574998])]"
12166,movel_fit,"[array([1044.01981498, -424.24590763,  930.9605806 ])]","[array([-0.74150872, -0.30660377,  0.74189924,  0.70017768,  1.37595029,
       -2.38977728])]"
12333,movel_fit,"[array([1045.168079  , -418.55646608,  931.80247   ])]","[array([-0.73826107, -0.30754946,  0.74283638,  0.70312451,  1.37723105,
       -2.38377141])]"
12500,movel_fit,"[array([1046.32818814, -412.87315966,  932.66915034])]","[array([-0.73495933, -0.30847646,  0.74371788,  0.70600589,  1.37849092,
       -2.37776874])]"
12666,movel_fit,"[array([1047.49266839, -407.22992541,  933.55465164])]","[array([-0.73162441, -0.30937876,  0.74453896,  0.70880564,  1.37972287,
       -2.37180563])]"
12833,movel_fit,"[array([1048.67513043, -401.55872437,  934.46908624])]","[array([-0.72821677, -0.31026666,  0.74530953,  0.71155799,  1.38094201,
       -2.36581074])]"
13000,movel_fit,"[array([1049.86817612, -395.89351391,  935.40663769])]","[array([-0.72475704, -0.31113416,  0.74602457,  0.71424644,  1.38214109,
       -2.35982055])]"
13166,movel_fit,"[array([1051.06415847, -390.26810076,  936.36094179])]","[array([-0.72126707, -0.31197576,  0.74668043,  0.71685602,  1.38331335,
       -2.35387146])]"
13333,movel_fit,"[array([1052.27708049, -384.6146385 ,  937.3429551 ])]","[array([-0.7177055 , -0.31280115,  0.74728517,  0.71941873,  1.38447312,
       -2.34789236])]"
13500,movel_fit,"[array([1053.49936327, -378.96695545,  938.34645723])]","[array([-0.71409389, -0.31360476,  0.74783485,  0.72191922,  1.38561349,
       -2.34191967])]"
