breakpoints,primitives,p_bp,q_bp
0,moveabsj,"[array([ 1458.59322571, -1321.82010204,   210.70622821])]","[array([-0.83358208,  0.67510898,  0.19304187, -2.8132616 , -0.575801  ,
       -2.18793792])]"
500,movel_fit,"[array([ 1421.68457088, -1183.03831685,   302.47472381])]","[array([-0.84345825,  0.60732085,  0.2356142 , -2.69432237, -0.76475529,
       -2.21818654])]"
1000,movel_fit,"[array([ 1418.36352223, -1168.88942339,   312.3765918 ])]","[array([-0.84238461,  0.60113523,  0.23774054, -2.69178844, -0.78413985,
       -2.22286719])]"
1500,movel_fit,"[array([ 1415.60072192, -1154.88063689,   322.59656461])]","[array([-0.84050531,  0.59538462,  0.23834424, -2.69209516, -0.80418291,
       -2.22947286])]"
2000,movel_fit,"[array([ 1412.94952761, -1141.1605009 ,   333.23830537])]","[array([-0.83854487,  0.59007164,  0.23797819, -2.69265398, -0.82504355,
       -2.23709975])]"
2500,movel_fit,"[array([ 1410.44648176, -1127.78810936,   344.37339986])]","[array([-0.83678681,  0.58513163,  0.23692561, -2.69249676, -0.84666824,
       -2.24514722])]"
3000,movel_fit,"[array([ 1408.1688996 , -1114.76573279,   355.93163673])]","[array([-0.83525707,  0.58054595,  0.23532064, -2.69141781, -0.86884939,
       -2.25331479])]"
3500,movel_fit,"[array([ 1406.16646699, -1102.04867886,   367.85863545])]","[array([-0.83389914,  0.57626309,  0.2332525 , -2.68953294, -0.89141518,
       -2.26151399])]"
4000,movel_fit,"[array([ 1404.45353623, -1089.60608737,   380.14173037])]","[array([-0.83265183,  0.5722774 ,  0.2307157 , -2.68704072, -0.91426532,
       -2.26974825])]"
4500,movel_fit,"[array([ 1403.03898577, -1077.46807146,   392.75493617])]","[array([-0.83146773,  0.5685629 ,  0.22772804, -2.68410447, -0.93730409,
       -2.27802632])]"
5000,movel_fit,"[array([ 1401.91325854, -1065.64904095,   405.68735824])]","[array([-0.83031849,  0.56508175,  0.224333  , -2.68082104, -0.9604347 ,
       -2.28632851])]"
5500,movel_fit,"[array([ 1401.07526801, -1054.15435702,   418.93747787])]","[array([-0.82919283,  0.56180016,  0.22057335, -2.67722152, -0.98356466,
       -2.29460048])]"
6000,movel_fit,"[array([ 1400.5114509 , -1042.96227687,   432.46787946])]","[array([-0.82809249,  0.55867557,  0.21654459, -2.67328883, -1.00655437,
       -2.30278199])]"
6500,movel_fit,"[array([ 1400.22067848, -1032.09497066,   446.25140005])]","[array([-0.82701672,  0.55564023,  0.21233577, -2.66901502, -1.02928859,
       -2.31078266])]"
7000,movel_fit,"[array([ 1400.1781091 , -1021.55636208,   460.28944504])]","[array([-0.82596642,  0.55261538,  0.20804064, -2.66440527, -1.05165495,
       -2.31852203])]"
7500,movel_fit,"[array([ 1400.38452109, -1011.33144213,   474.55691052])]","[array([-0.82493793,  0.54957945,  0.20370433, -2.65948031, -1.07355184,
       -2.32595832])]"
8000,movel_fit,"[array([ 1400.82288802, -1001.42561501,   489.05984039])]","[array([-0.82391683,  0.54646009,  0.19937793, -2.65429022, -1.09493437,
       -2.33305879])]"
8500,movel_fit,"[array([1401.46280127, -991.83144165,  503.74468266])]","[array([-0.82289032,  0.54325523,  0.19507406, -2.64890435, -1.11575107,
       -2.33984593])]"
9000,movel_fit,"[array([1402.31132377, -982.52421214,  518.61297873])]","[array([-0.82183196,  0.53995306,  0.19076994, -2.64340133, -1.1360136 ,
       -2.34634187])]"
9500,movel_fit,"[array([1403.36589676, -973.51104691,  533.64493975])]","[array([-0.82071874,  0.53656372,  0.18642925, -2.63786257, -1.15573805,
       -2.35259037])]"
10000,movel_fit,"[array([1404.60550571, -964.76805187,  548.8379313 ])]","[array([-0.81953549,  0.53311232,  0.18200529, -2.6323622 , -1.1749645 ,
       -2.35865378])]"
10500,movel_fit,"[array([1406.01631099, -956.2917413 ,  564.14979422])]","[array([-0.81826249,  0.52961008,  0.17746868, -2.62695792, -1.19373109,
       -2.36458595])]"
11000,movel_fit,"[array([1407.5861807 , -948.06038255,  579.57921684])]","[array([-0.81688652,  0.52608163,  0.17276714, -2.62169745, -1.21208801,
       -2.37042756])]"
11500,movel_fit,"[array([1409.30557278, -940.08202634,  595.11264314])]","[array([-0.81540727,  0.52255194,  0.16787521, -2.61661022, -1.2300587 ,
       -2.37622395])]"
12000,movel_fit,"[array([1411.1630365 , -932.31618628,  610.77177237])]","[array([-0.81381463,  0.51901942,  0.16277115, -2.61170933, -1.24769458,
       -2.38199125])]"
12500,movel_fit,"[array([1413.132999  , -924.76797808,  626.49790853])]","[array([-0.81211421,  0.5155044 ,  0.15745607, -2.6070049 , -1.26498998,
       -2.38775892])]"
13000,movel_fit,"[array([1415.21372208, -917.43517316,  642.3161552 ])]","[array([-0.81030498,  0.51200493,  0.15190954, -2.6024996 , -1.28197484,
       -2.39352016])]"
13500,movel_fit,"[array([1417.3950484 , -910.29168416,  658.20209342])]","[array([-0.80839095,  0.50852785,  0.14614557, -2.59818612, -1.29864254,
       -2.39928909])]"
14000,movel_fit,"[array([1419.66516916, -903.31986125,  674.15890417])]","[array([-0.80636775,  0.50505606,  0.14016366, -2.59406291, -1.31501677,
       -2.40505261])]"
14500,movel_fit,"[array([1422.00422684, -896.51760752,  690.17429995])]","[array([-0.80424588,  0.50160522,  0.13396724, -2.59013201, -1.33109003,
       -2.41082643])]"
15000,movel_fit,"[array([1424.40892218, -889.87998275,  706.25769949])]","[array([-0.80202827,  0.49816869,  0.12755893, -2.58638817, -1.34687275,
       -2.41660858])]"
15500,movel_fit,"[array([1426.87185302, -883.38428337,  722.39272596])]","[array([-0.79970795,  0.49473772,  0.1209352 , -2.58283175, -1.36238188,
       -2.42238968])]"
