breakpoints,primitives,points,q_bp
0,moveabsj_fit,"[array([ 1426.3852095 , -1196.96529999,   292.88559464])]","[array([-0.84190536,  0.61401203,  0.2305977 , -2.70622154, -0.74584949,
       -2.21577141])]"
3480,movec_fit,"[array([ 1414.42262144, -1148.22696458,   327.7118238 ]), array([ 1406.1054721 , -1102.62391965,   367.38572398])]","[array([-0.83898556,  0.59350665,  0.23668179, -2.69467995, -0.81534854,
       -2.23751834]), array([-0.83484289,  0.57533098,  0.23570606, -2.68638491, -0.88880018,
       -2.25342639])]"
5887,movec_fit,"[array([ 1402.26403265, -1070.91012227,   399.89501268]), array([ 1400.53812531, -1045.50593984,   429.36249474])]","[array([-0.83094684,  0.56665171,  0.22591199, -2.68195444, -0.9501367 ,
       -2.28428687]), array([-0.82830155,  0.55935288,  0.21746595, -2.67466187, -1.00154767,
       -2.2980916 ])]"
7477,movec_fit,"[array([ 1400.1097251 , -1028.23724082,   451.34171689]), array([ 1400.33180984, -1011.83375874,   473.89016886])]","[array([-0.82671923,  0.55431576,  0.211143  , -2.6671015 , -1.0371399 ,
       -2.3130828 ]), array([-0.82491978,  0.55016618,  0.20326958, -2.66007555, -1.07325481,
       -2.32693151])]"
9009,movec_fit,"[array([1401.09163316, -996.71671256,  496.17228825]), array([1402.36493842, -982.36055366,  518.84597235])]","[array([-0.82342991,  0.54477338,  0.19747919, -2.65157661, -1.10485086,
       -2.33677834]), array([-0.82182138,  0.5401644 ,  0.19040508, -2.6433883 , -1.13681824,
       -2.34576645])]"
10518,movec_fit,"[array([1404.057022  , -968.8303581 ,  541.58650908]), array([1406.15462122, -955.95477533,  564.63037519])]","[array([-0.82006119,  0.53461932,  0.18428231, -2.63495028, -1.16564015,
       -2.35571368]), array([-0.81821469,  0.52980132,  0.17699987, -2.62672752, -1.19480769,
       -2.36494185])]"
12007,movec_fit,"[array([1408.5646583 , -943.78034235,  587.66302816]), array([1411.28672706, -932.16443621,  610.90852108])]","[array([-0.81604449,  0.52416202,  0.17029268, -2.61906107, -1.22136381,
       -2.37362376]), array([-0.81381829,  0.51918914,  0.16256298, -2.61150711, -1.24818822,
       -2.38173001])]"
13450,movec_fit,"[array([1414.17157743, -921.33424573,  633.65254147]), array([1417.2754309 , -910.95268119,  656.53737171])]","[array([-0.81122636,  0.5138455 ,  0.15500977, -2.6049759 , -1.27260197,
       -2.39040869]), array([-0.80859582,  0.50909126,  0.1465826 , -2.59849358, -1.29721969,
       -2.39863324])]"
15635,movec_fit,"[array([1422.84321783, -894.3547075 ,  695.21887799]), array([1427.62564627, -881.61620251,  726.67934244])]","[array([-0.80343037,  0.50029751,  0.13210457, -2.58913029, -1.33570277,
       -2.41282208]), array([-0.79920126,  0.49433135,  0.11881052, -2.58150082, -1.36721797,
       -2.42360252])]"
17117,movec_fit,"[array([1431.35562904, -872.249441  ,  750.70960235]), array([1435.15055192, -863.16410791,  774.76166478])]","[array([-0.79536662,  0.48877208,  0.10883904, -2.57707609, -1.38884607,
       -2.43255437]), array([-0.79152509,  0.48372537,  0.09817409, -2.57260296, -1.41056674,
       -2.44120096])]"
