breakpoints,primitives,p_bp,q_bp
0,moveabsj_fit,"[array([ 1471.76479165, -1336.91883414,   222.89811463])]","[array([-0.84512444,  0.67604748,  0.1848078 , -2.76014844, -0.58895966,
       -2.12105762])]"
4234,movec_fit,"[array([ 1425.86326391, -1197.48334935,   292.22125587]), array([ 1403.38491628, -1083.94846994,   385.96660915])]","[array([-0.85403053,  0.65362561,  0.17668489, -2.69307932, -0.83190415,
       -2.26030061]), array([-0.83243995,  0.56909351,  0.23161581, -2.68488119, -0.92307278,
       -2.26457261])]"
7063,movec_fit,"[array([ 1400.36301963, -1048.37177467,   426.063275  ]), array([ 1400.16230364, -1019.93771669,   461.81315798])]","[array([-0.82860988,  0.56050753,  0.21784392, -2.67595687, -0.99653717,
       -2.30026463]), array([-0.82546969,  0.55259041,  0.20700605, -2.66507707, -1.05518989,
       -2.31652379])]"
8994,movec_fit,"[array([ 1400.6283201 , -1000.7128288 ,   489.78633077]), array([1401.87077033, -982.85814662,  518.56806593])]","[array([-0.8238207 ,  0.54613449,  0.19938924, -2.65422426, -1.09602993,
       -2.33293173]), array([-0.82211498,  0.54039894,  0.19033666, -2.64346463, -1.13672182,
       -2.34776916])]"
10910,movec_fit,"[array([1404.09132407, -965.79779726,  547.50633936]), array([1406.99962996, -949.71855026,  576.86828884])]","[array([-0.81988006,  0.53322519,  0.18265241, -2.63282664, -1.17307999,
       -2.35882488]), array([-0.81738575,  0.52697614,  0.17334475, -2.62271439, -1.20954625,
       -2.36851445])]"
12830,movec_fit,"[array([1410.40786079, -934.47175471,  606.79927317]), array([1414.25608787, -920.20429376,  637.05671715])]","[array([-0.81440298,  0.5197558 ,  0.16425543, -2.61300255, -1.24311267,
       -2.38067469]), array([-0.81123535,  0.51348697,  0.15350291, -2.60384611, -1.27690784,
       -2.39169001])]"
14705,movec_fit,"[array([1418.39899965, -906.8495961 ,  666.86628998]), array([1422.81771175, -894.10900101,  696.89203404])]","[array([-0.80751767,  0.50656129,  0.14297584, -2.59597505, -1.30742857,
       -2.40269234]), array([-0.80361293,  0.50048652,  0.1310164 , -2.58849509, -1.33820496,
       -2.41287898])]"
16386,movec_fit,"[array([1426.93622256, -883.10415763,  723.98895996]), array([1431.1978763 , -872.50903741,  751.16700672])]","[array([-0.79968421,  0.49440809,  0.12024149, -2.58252958, -1.36386604,
       -2.42306777]), array([-0.79559518,  0.48893763,  0.10841559, -2.57690379, -1.38961206,
       -2.43267709])]"
19039,movec_fit,"[array([1439.29249862, -853.49000554,  802.09571392]), array([1444.86121896, -840.83703875,  837.72240876])]","[array([-0.78706706,  0.47783602,  0.08564756, -2.56828478, -1.43417308,
       -2.45113271]), array([-0.78096538,  0.47102395,  0.06816484, -2.56262606, -1.46517179,
       -2.46333892])]"
20911,movec_fit,"[array([1449.58943918, -830.1078997 ,  868.45445438]), array([1454.15333655, -819.41549978,  899.16326674])]","[array([-0.77498338,  0.46371228,  0.05337015, -2.55952961, -1.48876641,
       -2.47443075]), array([-0.76883774,  0.45677133,  0.03785754, -2.55671094, -1.51220801,
       -2.48513402])]"
