breakpoints,primitives,p_bp,q_bp
0,moveabsj_fit,"[array([ 1459.11660828, -1305.54634589,   231.88593929])]","[array([-0.84744309,  0.66633107,  0.19341761, -2.73811781, -0.63291935,
       -2.15891074])]"
4234,movec_fit,"[array([ 1420.60158452, -1177.22528297,   305.81906001]), array([ 1403.374125  , -1083.77756042,   385.77775713])]","[array([-0.84986534,  0.63039259,  0.20196048, -2.68706847, -0.82610271,
       -2.25885191]), array([-0.83238471,  0.56905815,  0.2319518 , -2.6847673 , -0.922786  ,
       -2.26469562])]"
7063,movec_fit,"[array([ 1400.37434161, -1048.43968455,   426.12126694]), array([ 1400.34493668, -1019.90622563,   461.77698821])]","[array([-0.828531  ,  0.56064681,  0.21756273, -2.67632618, -0.99683585,
       -2.30013403]), array([-0.82538797,  0.55264942,  0.2069814 , -2.66504171, -1.05513219,
       -2.31648139])]"
8994,movec_fit,"[array([ 1400.40826379, -1000.59857771,   489.71216555]), array([1401.8978772 , -982.97921357,  518.60811611])]","[array([-0.82391147,  0.54607643,  0.19971591, -2.65408371, -1.09609286,
       -2.33326272]), array([-0.82214583,  0.54040295,  0.19035236, -2.6434715 , -1.13671548,
       -2.34780179])]"
10910,movec_fit,"[array([1404.06664804, -965.75041044,  547.47936897]), array([1406.94001975, -949.70014565,  576.85124479])]","[array([-0.81990247,  0.53323347,  0.18275872, -2.63272406, -1.17312514,
       -2.35895804]), array([-0.8174004 ,  0.52689595,  0.17351506, -2.62270327, -1.20947357,
       -2.36857261])]"
12830,movec_fit,"[array([1410.33073788, -934.47704974,  606.80950059]), array([1414.19327146, -920.18255231,  637.06120707])]","[array([-0.81446759,  0.51972378,  0.16437552, -2.61291001, -1.24317996,
       -2.38080643]), array([-0.81125551,  0.5133819 ,  0.15368384, -2.6038427 , -1.2768508 ,
       -2.39174482])]"
14705,movec_fit,"[array([1418.35204021, -906.79029267,  666.86239403]), array([1422.75430016, -894.05275281,  696.89403302])]","[array([-0.80755241,  0.50650403,  0.14315307, -2.59587487, -1.30746642,
       -2.40281565]), array([-0.80361818,  0.50035184,  0.13122575, -2.58848804, -1.33814365,
       -2.412923  ])]"
16386,movec_fit,"[array([1426.84569224, -883.0969207 ,  724.02052829]), array([1431.11008685, -872.50751826,  751.18511488])]","[array([-0.79974421,  0.49435299,  0.12037204, -2.58245177, -1.36395895,
       -2.42318003]), array([-0.79562385,  0.48881283,  0.10859641, -2.57691075, -1.38957741,
       -2.43272792])]"
19039,movec_fit,"[array([1439.24925857, -853.39651544,  802.0637782 ]), array([1444.79063342, -840.85330742,  837.73816845])]","[array([-0.7870757 ,  0.47779415,  0.08582044, -2.56817718, -1.43422007,
       -2.45123594]), array([-0.78099742,  0.4709278 ,  0.0683041 , -2.56263757, -1.46515075,
       -2.46338579])]"
20911,movec_fit,"[array([1449.50595377, -830.10941951,  868.50801408]), array([1454.08237272, -819.42430391,  899.15244664])]","[array([-0.77503831,  0.4636778 ,  0.05345585, -2.55945854, -1.48889283,
       -2.47451568]), array([-0.76886093,  0.45667605,  0.03801168, -2.55671905, -1.51217019,
       -2.48518362])]"
