breakpoints,primitives,p_bp,q_bp
0,moveabsj_fit,"[array([ 1456.37074809, -1297.59558916,   236.84824879])]","[array([-0.84679663,  0.6609751 ,  0.1980602 , -2.73653575, -0.63788156,
       -2.16116096])]"
4234,movec_fit,"[array([ 1420.49623691, -1177.29310566,   305.88978387]), array([ 1403.29166819, -1083.70472779,   385.6967252 ])]","[array([-0.84958042,  0.6315809 ,  0.19969339, -2.68960051, -0.82901346,
       -2.25789411]), array([-0.83239389,  0.56910399,  0.23172924, -2.68482855, -0.92294742,
       -2.26460506])]"
7063,movec_fit,"[array([ 1400.45679253, -1048.30067888,   426.01304476]), array([ 1400.17863671, -1019.94876665,   461.8062778 ])]","[array([-0.82863489,  0.56054543,  0.21760783, -2.67561475, -0.99648273,
       -2.30016259]), array([-0.82556154,  0.55262653,  0.20681273, -2.66514764, -1.05536014,
       -2.31650895])]"
8994,movec_fit,"[array([ 1400.22750419, -1000.40844581,   489.58567174]), array([1401.87030286, -982.64622071,  518.40296435])]","[array([-0.82401484,  0.54573243,  0.20032302, -2.65391737, -1.0957061 ,
       -2.33341182]), array([-0.82209129,  0.54023527,  0.19077146, -2.64339593, -1.13647521,
       -2.34789488])]"
10910,movec_fit,"[array([1404.0724274 , -965.51826655,  547.34000838]), array([1406.90804951, -949.50064888,  576.74983931])]","[array([-0.81983423,  0.53311132,  0.18298741, -2.63275273, -1.17291325,
       -2.3589266 ]), array([-0.81735731,  0.52685001,  0.17363504, -2.62267243, -1.20939293,
       -2.36858129])]"
12830,movec_fit,"[array([1410.28433237, -934.27324095,  606.71970386]), array([1414.13186532, -919.93219902,  636.96280408])]","[array([-0.81439358,  0.51963338,  0.16453922, -2.61297341, -1.24302278,
       -2.38077511]), array([-0.81120612,  0.51330304,  0.15387795, -2.60380436, -1.27673195,
       -2.39177168])]"
14705,movec_fit,"[array([1418.25315742, -906.5298505 ,  666.76567519]), array([1422.66664212, -893.81041891,  696.81149487])]","[array([-0.80747981,  0.50639689,  0.14333621, -2.59594017, -1.30734375,
       -2.40281073]), array([-0.80358067,  0.50025852,  0.13143   , -2.58845819, -1.33803336,
       -2.41295642])]"
16386,movec_fit,"[array([1426.76595357, -882.84268635,  723.93044683]), array([1431.02944095, -872.24436324,  751.10036977])]","[array([-0.79965684,  0.49423649,  0.12056407, -2.58251747, -1.36381371,
       -2.42316724]), array([-0.79556893,  0.48870142,  0.10882052, -2.57687583, -1.38945791,
       -2.43275024])]"
19039,movec_fit,"[array([1439.14844564, -853.17305724,  802.00497996]), array([1444.71286867, -840.59424761,  837.65734891])]","[array([-0.78701301,  0.47765843,  0.08599174, -2.56828822, -1.43409408,
       -2.45122866]), array([-0.78094035,  0.470813  ,  0.06854011, -2.56260557, -1.4650225 ,
       -2.46341126])]"
20911,movec_fit,"[array([1449.44413414, -829.8439248 ,  868.41114289]), array([1454.02830014, -819.14080142,  899.0661462 ])]","[array([-0.77492925,  0.46352782,  0.05367804, -2.5595473 , -1.48870745,
       -2.47450171]), array([-0.76878886,  0.45655472,  0.03823735, -2.55668455, -1.51204818,
       -2.48518835])]"
24061,movec_fit,"[array([1463.09389639, -796.30449284,  964.36504697]), array([1467.56964148, -783.19554409, 1002.77327217])]","[array([-0.75416672,  0.44048886,  0.00389179, -2.55457198, -1.55777093,
       -2.50854537]), array([-0.74522007,  0.43132449, -0.01764279, -2.55470226, -1.58390075,
       -2.52222669])]"
26145,movec_fit,"[array([1471.17111083, -770.55917404, 1036.96775333]), array([1474.16372628, -757.55653298, 1071.01639803])]","[array([-0.73536128,  0.42149726, -0.03753748, -2.55938597, -1.60445765,
       -2.53581979]), array([-0.72531956,  0.41164898, -0.05759088, -2.56438005, -1.62452991,
       -2.54943142])]"
28145,movec_fit,"[array([1476.2094218 , -744.74571913, 1103.66223635]), array([1477.47291964, -731.39536973, 1136.10943496])]","[array([-0.71440045,  0.40046053, -0.07691664, -2.57311885, -1.64120343,
       -2.5626529 ]), array([-0.70326977,  0.38882426, -0.09586307, -2.5822678 , -1.65713263,
       -2.57601983])]"
30012,movec_fit,"[array([1477.78818022, -718.20457252, 1166.1301259 ]), array([1477.23280931, -704.33046095, 1195.80572246])]","[array([-0.69105792,  0.37521348, -0.1127991 , -2.59611905, -1.66812681,
       -2.58840594]), array([-0.67856488,  0.36092733, -0.12881705, -2.6104098 , -1.67824719,
       -2.6011429 ])]"
31894,movec_fit,"[array([1475.62029409, -689.48791812, 1225.34796902]), array([1472.89809302, -673.83252244, 1254.30970139])]","[array([-0.66372638,  0.34360761, -0.14394687, -2.63097659, -1.68461055,
       -2.61394323]), array([-0.6485115 ,  0.32532747, -0.15737118, -2.65201378, -1.68981005,
       -2.62726474])]"
