breakpoints,primitives,p_bp,q_bp
0,moveabsj,"[array([-443.54197085, 1256.92614687,  508.99403555])]","[array([ 1.27782723,  1.03042369, -2.2652361 , -1.18468561,  1.50932299,
       -4.7998559 ])]"
1665,movel,"[array([-420.33654467, 1245.89641117,  482.95584771])]","[array([ 1.2649275 ,  1.02357605, -2.25730239, -1.19187472,  1.50594124,
       -4.82954662])]"
3332,movel,"[array([-399.45924833, 1227.88097952,  451.35996381])]","[array([ 1.25880015,  1.01400658, -2.24960936, -1.20203904,  1.49252486,
       -4.86391794])]"
4999,movel,"[array([-373.13489168, 1211.23433237,  421.66160466])]","[array([ 1.24981635,  1.00419554, -2.24227041, -1.2145015 ,  1.48106376,
       -4.89796096])]"
6665,movel,"[array([-343.67265396, 1195.0940527 ,  394.63716478])]","[array([ 1.23981025,  0.99345704, -2.23572738, -1.22898456,  1.47026361,
       -4.93130148])]"
8332,movel,"[array([-312.22344495, 1180.09951641,  371.98029852])]","[array([ 1.22903209,  0.98152198, -2.2304335 , -1.24502484,  1.4607406 ,
       -4.96288694])]"
9999,movel,"[array([-280.34764204, 1166.03037153,  354.00367416])]","[array([ 1.21861306,  0.9681076 , -2.22665313, -1.26208987,  1.4516915 ,
       -4.99240137])]"
11665,movel,"[array([-249.43282557, 1151.8400071 ,  339.60372982])]","[array([ 1.21014322,  0.95307765, -2.22430243, -1.27961509,  1.44122714,
       -5.02033905])]"
13332,movel,"[array([-220.11818059, 1136.9609013 ,  327.90857649])]","[array([ 1.20440537,  0.93652518, -2.22318626, -1.29705403,  1.42831443,
       -5.047081  ])]"
14999,movel,"[array([-192.71199724, 1121.50312163,  318.71200821])]","[array([ 1.20149439,  0.91868628, -2.22316659, -1.31384624,  1.41293185,
       -5.07258637])]"
16665,movel,"[array([-167.4617956 , 1105.74940653,  311.9773563 ])]","[array([ 1.20133942,  0.89979981, -2.22412762, -1.32945212,  1.39530055,
       -5.09671832])]"
18332,movel,"[array([-144.58193213, 1090.04792095,  307.7589598 ])]","[array([ 1.20381834,  0.88004159, -2.22598564, -1.34337908,  1.37569888,
       -5.11932002])]"
19999,movel,"[array([-124.35840103, 1074.94974258,  306.32810444])]","[array([ 1.20871302,  0.85957669, -2.22872734, -1.35514351,  1.35461667,
       -5.14006542])]"
21665,movel,"[array([-107.08991085, 1060.944715  ,  307.90354381])]","[array([ 1.21588803,  0.8385081 , -2.23235605, -1.36427942,  1.33233725,
       -5.15864359])]"
23332,movel,"[array([ -92.98519612, 1048.29588276,  312.52205451])]","[array([ 1.22542739,  0.81683528, -2.23685241, -1.37029225,  1.30857949,
       -5.17485404])]"
24999,movel,"[array([ -82.22066026, 1037.48471543,  320.52135364])]","[array([ 1.23730757,  0.79453159, -2.24230293, -1.37269517,  1.28314757,
       -5.18827704])]"
26665,movel,"[array([ -75.04285175, 1029.53768272,  333.04687408])]","[array([ 1.25104325,  0.77148982, -2.24910096, -1.37124719,  1.25667915,
       -5.1980855 ])]"
28332,movel,"[array([ -71.81539941, 1025.60070078,  351.79303122])]","[array([ 1.26589131,  0.74746037, -2.25791012, -1.36600518,  1.23023655,
       -5.20327035])]"
29999,movel,"[array([ -72.91510608, 1026.30259709,  378.38030343])]","[array([ 1.28123972,  0.72215404, -2.26943025, -1.35715811,  1.20441383,
       -5.20293974])]"
31665,movel,"[array([ -78.65400652, 1031.62037881,  414.39502251])]","[array([ 1.29654199,  0.69526636, -2.28437372, -1.3451025 ,  1.17949648,
       -5.19639193])]"
33332,movel,"[array([ -89.18183246, 1040.80803211,  461.45896225])]","[array([ 1.31098856,  0.66652088, -2.30348124, -1.33081551,  1.15629098,
       -5.18322705])]"
34999,movel,"[array([-104.05044068, 1051.86949968,  520.03261576])]","[array([ 1.32381955,  0.63591378, -2.32703538, -1.31570541,  1.13544484,
       -5.16387114])]"
36665,movel,"[array([-122.1731593 , 1061.72756676,  588.35820248])]","[array([ 1.33501467,  0.60383533, -2.35437739, -1.30063815,  1.11595983,
       -5.13973398])]"
38332,movel,"[array([-142.5540929 , 1067.40984773,  662.77696689])]","[array([ 1.34529323,  0.57105497, -2.38399436, -1.28525804,  1.09530274,
       -5.1125989 ])]"
39999,movel,"[array([-165.11453574, 1067.09586303,  738.57953597])]","[array([ 1.35580791,  0.53873083, -2.41384004, -1.26780818,  1.07015445,
       -5.08386881])]"
41665,movel,"[array([-190.41683761, 1060.50177364,  811.36351844])]","[array([ 1.3673377 ,  0.50812732, -2.44195102, -1.2463832 ,  1.03825847,
       -5.05437362])]"
43332,movel,"[array([-218.08682909, 1048.55511665,  877.96570788])]","[array([ 1.37946754,  0.4801529 , -2.46701373, -1.2210897 ,  1.0004998 ,
       -5.02505615])]"
44999,movel,"[array([-248.39266944, 1032.68956882,  936.45955247])]","[array([ 1.39215484,  0.45549843, -2.48812171, -1.19156046,  0.95723258,
       -4.99609154])]"
46665,movel,"[array([-281.35669755, 1014.45367864,  985.6190625 ])]","[array([ 1.40528678,  0.434677  , -2.50462424, -1.15778651,  0.90897474,
       -4.96756703])]"
48332,movel,"[array([-315.58005084,  995.10928644, 1025.78490062])]","[array([ 1.41810883,  0.41742124, -2.51681179, -1.12165233,  0.85809644,
       -4.94007799])]"
49999,movel,"[array([-347.21843953,  976.18030375, 1057.20489438])]","[array([ 1.42917665,  0.40299965, -2.52514735, -1.08766304,  0.81036039,
       -4.91592633])]"
