breakpoints,primitives,points,q_bp
0,moveabsj,"[array([-443.54197085, 1256.92614687,  508.99403555])]","[array([ 1.27782723,  1.03042369, -2.2652361 , -1.18468561,  1.50932299,
       -4.7998559 ])]"
1000,moveabsj,"[array([-427.43125708, 1252.9048091 ,  495.2890153 ])]","[array([ 1.26712098,  1.02725834, -2.26038001, -1.18851455,  1.51100058,
       -4.81622113])]"
2000,moveabsj,"[array([-416.68010887, 1242.1578773 ,  476.54416537])]","[array([ 1.26398577,  1.02164641, -2.25575709, -1.1937221 ,  1.50307417,
       -4.83642507])]"
3000,moveabsj,"[array([-404.15941574, 1231.32019852,  457.53441641])]","[array([ 1.26033493,  1.01590622, -2.2511335 , -1.19982205,  1.49497917,
       -4.85707616])]"
4000,moveabsj,"[array([-389.40969822, 1221.15358072,  439.23818978])]","[array([ 1.25539277,  1.01016493, -2.24660488, -1.20675714,  1.48784188,
       -4.87757459])]"
5000,moveabsj,"[array([-373.13489168, 1211.23433237,  421.66160466])]","[array([ 1.24981635,  1.00419554, -2.24227041, -1.2145015 ,  1.48106376,
       -4.89796096])]"
6000,moveabsj,"[array([-355.75452384, 1201.44710868,  405.00461723])]","[array([ 1.24391735,  0.99787907, -2.23821846, -1.22298053,  1.47445959,
       -4.91812719])]"
7000,moveabsj,"[array([-337.48625878, 1191.98173132,  389.70462434])]","[array([ 1.23769592,  0.99116971, -2.23455261, -1.2320908 ,  1.46824539,
       -4.93780036])]"
8000,moveabsj,"[array([-318.59349801, 1182.9919245 ,  376.11037767])]","[array([ 1.2312101 ,  0.98401519, -2.2313727 , -1.24172161,  1.46254825,
       -4.95675159])]"
9000,moveabsj,"[array([-299.42913896, 1174.41716904,  364.27674242])]","[array([ 1.2247227 ,  0.97634655, -2.228738  , -1.25176023,  1.45717178,
       -4.97492236])]"
10000,moveabsj,"[array([-280.34764204, 1166.03037153,  354.00367416])]","[array([ 1.21861306,  0.9681076 , -2.22665313, -1.26208987,  1.4516915 ,
       -4.99240137])]"
11000,moveabsj,"[array([-261.62121768, 1157.58288092,  345.00519781])]","[array([ 1.21322303,  0.95927819, -2.22508399, -1.27258922,  1.44567618,
       -5.00932485])]"
12000,moveabsj,"[array([-243.41780457, 1148.91620236,  337.05636588])]","[array([ 1.20876541,  0.94987577, -2.22398508, -1.2831349 ,  1.43884555,
       -5.02579135])]"
13000,moveabsj,"[array([-225.8288517 , 1139.98758639,  330.04334811])]","[array([ 1.20532369,  0.93994217, -2.22331782, -1.29360489,  1.43109764,
       -5.0418342 ])]"
14000,moveabsj,"[array([-208.91060261, 1130.83051883,  323.93154243])]","[array([ 1.20290518,  0.9295286 , -2.22305332, -1.30388056,  1.42244419,
       -5.0574413 ])]"
15000,moveabsj,"[array([-192.71199724, 1121.50312163,  318.71200821])]","[array([ 1.20149439,  0.91868628, -2.22316659, -1.31384624,  1.41293185,
       -5.07258637])]"
16000,moveabsj,"[array([-177.28382136, 1112.06444826,  314.37575888])]","[array([ 1.20107627,  0.90746335, -2.22363266, -1.32338794,  1.40260521,
       -5.0872432 ])]"
17000,moveabsj,"[array([-162.67832514, 1102.58315713,  310.92410001])]","[array([ 1.20163113,  0.89590427, -2.22442953, -1.33239361,  1.39151653,
       -5.10137902])]"
18000,moveabsj,"[array([-148.94930596, 1093.15497151,  308.38916093])]","[array([ 1.20312258,  0.88404906, -2.22554436, -1.3407553 ,  1.379749  ,
       -5.11494235])]"
19000,moveabsj,"[array([-136.15488406, 1083.90233692,  306.83445333])]","[array([ 1.20549907,  0.87193139, -2.22697557, -1.34837116,  1.36741487,
       -5.12786269])]"
20000,moveabsj,"[array([-124.35840103, 1074.94974258,  306.32810444])]","[array([ 1.20871302,  0.85957669, -2.22872734, -1.35514351,  1.35461667,
       -5.14006542])]"
21000,moveabsj,"[array([-113.62325955, 1066.3933006 ,  306.90987217])]","[array([ 1.21274408,  0.8470014 , -2.23080036, -1.36097282,  1.34139555,
       -5.15148944])]"
22000,moveabsj,"[array([-104.00395185, 1058.29253573,  308.58346841])]","[array([ 1.21760635,  0.83421342, -2.23318793, -1.36575177,  1.32770839,
       -5.16209011])]"
23000,moveabsj,"[array([ -95.54109681, 1050.6983678 ,  311.35038036])]","[array([ 1.22332873,  0.82121281, -2.2358844 , -1.3693663 ,  1.3134615 ,
       -5.17181995])]"
24000,moveabsj,"[array([ -88.2670558 , 1043.70409795,  315.27178915])]","[array([ 1.22991514,  0.80799149, -2.23890443, -1.37170808,  1.29859163,
       -5.1805963 ])]"
25000,moveabsj,"[array([ -82.22066026, 1037.48471543,  320.52135364])]","[array([ 1.23730757,  0.79453159, -2.24230293, -1.37269517,  1.28314757,
       -5.18827704])]"
26000,moveabsj,"[array([ -77.46068148, 1032.29135702,  327.3919969 ])]","[array([ 1.24537721,  0.78080306, -2.24618252, -1.37228909,  1.26731339,
       -5.19466289])]"
27000,moveabsj,"[array([ -74.06651425, 1028.39694929,  336.25016094])]","[array([ 1.25395305,  0.76676215, -2.2506823 , -1.37049555,  1.2513478 ,
       -5.19952676])]"
28000,moveabsj,"[array([ -72.12518735, 1026.02611489,  347.47116113])]","[array([ 1.26286969,  0.75235212, -2.25595591, -1.36734731,  1.23547674,
       -5.20265019])]"
29000,moveabsj,"[array([ -71.7173811 , 1025.31306254,  361.40323683])]","[array([ 1.27199886,  0.73750646, -2.26215522, -1.36288482,  1.21982016,
       -5.20384295])]"
30000,moveabsj,"[array([ -72.91510608, 1026.30259709,  378.38030343])]","[array([ 1.28123972,  0.72215404, -2.26943025, -1.35715811,  1.20441383,
       -5.20293974])]"
31000,moveabsj,"[array([ -75.78605144, 1028.96691745,  398.75577209])]","[array([ 1.29047533,  0.70622522, -2.27793941, -1.35026057,  1.18931146,
       -5.19979252])]"
