breakpoints,primitives,p_bp,q_bp
0,moveabsj_fit,"[array([-442.22813295, 1258.2511041 ,  509.89177878])]","[array([ 1.27626439,  1.0309185 , -2.26508908, -1.18453884,  1.5111501 ,
       -4.79909435])]"
992,movel_fit,"[array([-426.60470206, 1253.9323232 ,  496.09510711])]","[array([ 1.26603476,  1.02761814, -2.26023768, -1.18836733,  1.51235575,
       -4.81547783])]"
2142,movel_fit,"[array([-415.61864189, 1240.27659451,  473.65412909])]","[array([ 1.2641152 ,  1.02083977, -2.25521827, -1.19453054,  1.501472  ,
       -4.83941497])]"
3420,movel_fit,"[array([-398.37494115, 1226.97125508,  449.66630252])]","[array([ 1.25850649,  1.01359195, -2.24909245, -1.20257616,  1.49180194,
       -4.86557173])]"
4764,movel_fit,"[array([-377.29290558, 1213.52088309,  425.60007845])]","[array([ 1.2513428 ,  1.00575388, -2.24320713, -1.21257135,  1.48254316,
       -4.89307297])]"
6097,movel_fit,"[array([-354.10867802, 1200.4748385 ,  403.25205683])]","[array([ 1.24341867,  0.99736359, -2.23770592, -1.22381976,  1.47372696,
       -4.91999151])]"
7430,movel_fit,"[array([-329.49907315, 1187.95613329,  383.34776378])]","[array([ 1.23505027,  0.98827085, -2.23297408, -1.23617466,  1.46556041,
       -4.94604231])]"
8749,movel_fit,"[array([-304.22424335, 1176.49188978,  366.83566558])]","[array([ 1.22634438,  0.97843419, -2.22916827, -1.24922287,  1.45842485,
       -4.97041381])]"
10099,movel_fit,"[array([-278.40410753, 1165.19798369,  352.84763166])]","[array([ 1.21799051,  0.96738911, -2.22631592, -1.26315643,  1.45112917,
       -4.99406927])]"
11522,movel_fit,"[array([-251.92580115, 1153.13234878,  340.55760141])]","[array([ 1.21065726,  0.95458765, -2.22432064, -1.27815332,  1.44230896,
       -5.01793585])]"
13047,movel_fit,"[array([-224.86765443, 1139.60289638,  329.54776293])]","[array([ 1.20505786,  0.93963892, -2.22321242, -1.29418406,  1.43082701,
       -5.0425722 ])]"
14697,movel_fit,"[array([-197.3483285 , 1124.36878248,  319.98198468])]","[array([ 1.201677  ,  0.92221653, -2.22306198, -1.3110037 ,  1.41603319,
       -5.06809471])]"
16510,movel_fit,"[array([-169.47213036, 1107.2303424 ,  312.24475303])]","[array([ 1.20108405,  0.90184518, -2.22403483, -1.32826317,  1.39719784,
       -5.09464381])]"
18520,movel_fit,"[array([-141.82478143, 1088.23691025,  307.09969672])]","[array([ 1.20409933,  0.87804768, -2.22635165, -1.34512431,  1.37354012,
       -5.12200689])]"
20739,movel_fit,"[array([-115.83647923, 1068.38189459,  306.16575287])]","[array([ 1.21146087,  0.85058233, -2.23035465, -1.35998732,  1.34500078,
       -5.1490292 ])]"
23311,movel_fit,"[array([ -92.42027818, 1048.11460373,  311.77802013])]","[array([ 1.22500088,  0.81745418, -2.23692468, -1.37097205,  1.30923743,
       -5.17538538])]"
25371,movel_fit,"[array([ -79.99434705, 1035.12089318,  322.4398916 ])]","[array([ 1.24016241,  0.78956871, -2.24362273, -1.37299937,  1.27735952,
       -5.19124557])]"
27431,movel_fit,"[array([ -72.44953748, 1026.57533355,  339.85300102])]","[array([ 1.25767431,  0.76083858, -2.25265761, -1.36973406,  1.24439982,
       -5.20187744])]"
29163,movel_fit,"[array([ -71.51476735, 1025.02764096,  363.37600429])]","[array([ 1.27339454,  0.7351921 , -2.26300744, -1.36208615,  1.21716271,
       -5.2041768 ])]"
30765,movel_fit,"[array([ -74.56770509, 1027.82589154,  392.8690107 ])]","[array([ 1.28814418,  0.71029275, -2.27554702, -1.35202832,  1.19269917,
       -5.20116301])]"
32203,movel_fit,"[array([ -81.28183808, 1034.03890808,  427.69506822])]","[array([ 1.30112727,  0.68650178, -2.28981571, -1.3404967 ,  1.17160098,
       -5.19304221])]"
33531,movel_fit,"[array([ -90.50855033, 1041.97263064,  467.24063592])]","[array([ 1.31235819,  0.66332832, -2.30586504, -1.32879256,  1.15351461,
       -5.18133377])]"
34750,movel_fit,"[array([-101.45207286, 1050.23994273,  510.1596878 ])]","[array([ 1.32170459,  0.6409652 , -2.3231333 , -1.31766236,  1.13833064,
       -5.16705349])]"
35903,movel_fit,"[array([-113.44818489, 1057.67752737,  555.75835453])]","[array([ 1.32967407,  0.6190297 , -2.34141564, -1.3071792 ,  1.12482594,
       -5.15111323])]"
37012,movel_fit,"[array([-126.18142512, 1063.50762891,  603.30458363])]","[array([ 1.33668554,  0.59739737, -2.36040086, -1.29710819,  1.11194681,
       -5.13402721])]"
38424,movec_fit,"[array([-134.89433617, 1065.96346006,  635.17539635]), array([-143.74167285, 1067.5733262 ,  666.96574529])]","[array([ 1.26896316,  1.02858741, -2.26177026, -1.18722862,  1.51206915,
       -4.81086459]), array([ 1.3448516 ,  0.56908437, -2.38507757, -1.28368645,  1.094496  ,
       -5.11068657])]"
39659,movec_fit,"[array([-151.8770185 , 1068.0641912 ,  695.16472558]), array([-160.3041218 , 1067.69229344,  723.23013166])]","[array([ 1.26987795,  1.02888615, -2.26222515, -1.18688007,  1.51196996,
       -4.80941079]), array([ 1.3530327 ,  0.54556127, -2.40859939, -1.27118466,  1.07632707,
       -5.09010529])]"
40859,movec_fit,"[array([-168.85594437, 1066.47717769,  750.13912285]), array([-177.83028322, 1064.44533386,  776.76111292])]","[array([ 1.27005287,  1.02894306, -2.26231085, -1.1868138 ,  1.51195047,
       -4.80913211]), array([ 1.36033423,  0.52305096, -2.42958242, -1.25615197,  1.0553829 ,
       -5.0689345 ])]"
41984,movec_fit,"[array([-186.48321669, 1061.85593323,  800.85609247]), array([-195.5526786 , 1058.59086922,  824.66534702])]","[array([ 1.27044409,  1.02907008, -2.26250102, -1.18666604,  1.51190627,
       -4.80850804]), array([ 1.36452917,  0.50306348, -2.44818579, -1.23727739,  1.03353393,
       -5.04848639])]"
42953,movec_fit,"[array([-203.51216283, 1055.40153224,  844.17591157]), array([-211.65905563, 1051.69519276,  863.4685963 ])]","[array([ 1.27124805,  1.02933001, -2.26288536, -1.18636431,  1.51181282,
       -4.80722213]), array([ 1.3747744 ,  0.48666222, -2.46252018, -1.2254395 ,  1.01047201,
       -5.03171614])]"
43921,movec_fit,"[array([-219.85916768, 1047.73325517,  881.73556933]), array([-228.4573318 , 1043.3547931 ,  899.62671483])]","[array([ 1.27124805,  1.02933001, -2.26288536, -1.18636431,  1.51181282,
       -4.80722213]), array([ 1.38273318,  0.47153352, -2.47609152, -1.21019433,  0.98666533,
       -5.01506414])]"
44890,movec_fit,"[array([-237.15467684, 1038.78171638,  916.4719018 ]), array([-246.33449905, 1033.85178387,  932.90897188])]","[array([ 1.27124805,  1.02933001, -2.26288536, -1.18636431,  1.51181282,
       -4.80722213]), array([ 1.39031607,  0.45747724, -2.48794915, -1.19276631,  0.96095269,
       -4.99821861])]"
45858,movec_fit,"[array([-255.55009793, 1028.83291532,  948.17513017]), array([-265.1824552 , 1023.52362798,  962.98650823])]","[array([ 1.27124805,  1.02933001, -2.26288536, -1.18636431,  1.51181282,
       -4.80722213]), array([ 1.39899371,  0.44482158, -2.49833018, -1.17439445,  0.9330186 ,
       -4.98169764])]"
46858,movec_fit,"[array([-275.04702725, 1018.02923266,  977.09569531]), array([-285.31109801, 1012.28213208,  990.71866081])]","[array([ 1.27108304,  1.02927678, -2.26280718, -1.18642603,  1.51183229,
       -4.80748645]), array([ 1.40669596,  0.43298928, -2.50726909, -1.15342306,  0.90344125,
       -4.96466043])]"
47865,movec_fit,"[array([-295.56257851, 1006.55042311, 1003.29045204]), array([-306.16807466, 1000.59156493, 1015.40810205])]","[array([ 1.2710521 ,  1.02926679, -2.26279248, -1.18643761,  1.51183592,
       -4.80753598]), array([ 1.41512997,  0.42247034, -2.51480423, -1.13175013,  0.87215919,
       -4.94795727])]"
48718,movel_fit,"[array([-323.22455046,  990.60299865, 1034.14558467])]","[array([ 1.42128   ,  0.41346992, -2.51838642, -1.11411893,  0.84620508,
       -4.9336809 ])]"
49967,movel_fit,"[array([-348.1095917 ,  976.05834534, 1057.77660404])]","[array([ 1.43033127,  0.40320411, -2.52515892, -1.08753139,  0.80851421,
       -4.91497366])]"
49999,movel_fit,"[array([-346.7497264 ,  976.35638008, 1056.73766111])]","[array([ 1.42861772,  0.40305292, -2.52508866, -1.08777127,  0.81131537,
       -4.91641309])]"
