breakpoints,primitives,p_bp,q_bp
0,moveabsj,"[array([ 296.7617321 , -542.64934069,  639.82342082])]","[array([-2.42155734, -0.47456158, -1.83846676, -0.14446135, -1.12906365,
       -3.86681373])]"
1665,moveabsj,"[array([ 305.52294348, -542.92498902,  649.11759805])]","[array([-2.4115644 , -0.48062347, -1.84298235, -0.14606906, -1.13051296,
       -3.87496711])]"
3332,moveabsj,"[array([ 315.07034056, -542.22774807,  659.58314782])]","[array([-2.39910922, -0.48744726, -1.85012818, -0.14343112, -1.13633097,
       -3.88195315])]"
4999,moveabsj,"[array([ 325.88913845, -541.76839017,  670.85748477])]","[array([-2.38643266, -0.49339448, -1.85647307, -0.14199215, -1.14107916,
       -3.8909116 ])]"
6665,moveabsj,"[array([ 337.44556132, -540.80268697,  681.73628906])]","[array([-2.37337478, -0.49864003, -1.86207503, -0.14099153, -1.14498683,
       -3.90025051])]"
8332,moveabsj,"[array([ 349.21999697, -538.91344341,  690.92812123])]","[array([-2.36010115, -0.50305267, -1.86644472, -0.14042582, -1.14746119,
       -3.90889348])]"
9999,moveabsj,"[array([ 360.80878897, -535.81682114,  697.60554269])]","[array([-2.34655758, -0.5066628 , -1.86961632, -0.13960946, -1.14871818,
       -3.91586403])]"
11665,moveabsj,"[array([ 372.09609511, -531.41008204,  701.70556694])]","[array([-2.33250823, -0.50967803, -1.87213678, -0.1374584 , -1.14968548,
       -3.9206401 ])]"
13332,moveabsj,"[array([ 383.07603294, -525.72183594,  703.36445788])]","[array([-2.31783542, -0.51220868, -1.87435914, -0.13335947, -1.15094422,
       -3.92312202])]"
14999,moveabsj,"[array([ 393.67757189, -518.82392137,  702.57339697])]","[array([-2.30259405, -0.51420886, -1.87630533, -0.1271575 , -1.15257693,
       -3.92332877])]"
16665,moveabsj,"[array([ 403.8134791 , -510.76871721,  699.26710314])]","[array([-2.28685151, -0.51557726, -1.87790008, -0.11879682, -1.15452426,
       -3.92128931])]"
18332,moveabsj,"[array([ 413.39831705, -501.55499641,  693.31936154])]","[array([-2.27063573, -0.51617415, -1.87901812, -0.10822112, -1.15666344,
       -3.9170005 ])]"
19999,moveabsj,"[array([ 422.29111718, -491.14546472,  684.50922194])]","[array([-2.2540131 , -0.51579765, -1.87944395, -0.0954235 , -1.15875703,
       -3.91041057])]"
21665,moveabsj,"[array([ 430.357951  , -479.43215217,  672.63522837])]","[array([-2.23699041, -0.51423952, -1.87900845, -0.08027916, -1.16065081,
       -3.90142748])]"
23332,moveabsj,"[array([ 437.50607317, -466.18872984,  657.56626232])]","[array([-2.21941552, -0.51130883, -1.87768032, -0.06238393, -1.16242333,
       -3.88989155])]"
24999,moveabsj,"[array([ 443.57019817, -451.1009963 ,  639.10860504])]","[array([-2.20113435, -0.50673825, -1.87536114, -0.04130905, -1.16408686,
       -3.87557516])]"
26665,moveabsj,"[array([ 448.26015087, -433.72695378,  616.83460716])]","[array([-2.18211673, -0.50008675, -1.87164285, -0.01688531, -1.16521262,
       -3.85819038])]"
28332,moveabsj,"[array([ 451.22047104, -413.40779353,  590.24567388])]","[array([-2.16236638, -0.49080634, -1.8659523 ,  0.01094267, -1.16512237,
       -3.83740532])]"
29999,moveabsj,"[array([ 452.05812899, -389.2983544 ,  559.19710517])]","[array([-2.14178827, -0.47842086, -1.85790056,  0.04235705, -1.1633618 ,
       -3.81290653])]"
31665,moveabsj,"[array([ 450.31332789, -360.40665949,  523.97431466])]","[array([-2.12019227, -0.46256197, -1.8472536 ,  0.07752766, -1.15960586,
       -3.78444709])]"
33332,moveabsj,"[array([ 445.50394928, -325.72147857,  485.33092002])]","[array([-2.09749235, -0.44301336, -1.83375178,  0.11612527, -1.15326875,
       -3.7520672 ])]"
34999,moveabsj,"[array([ 437.21272457, -284.71586153,  444.94344925])]","[array([-2.07373828, -0.4200647 , -1.81749281,  0.1572492 , -1.14393612,
       -3.71634038])]"
36665,moveabsj,"[array([ 424.95781236, -237.90011898,  405.31195114])]","[array([-2.04884068, -0.39470952, -1.79935192,  0.20001488, -1.13207114,
       -3.67810081])]"
38332,moveabsj,"[array([ 408.02330552, -187.09646277,  368.95803012])]","[array([-2.0225176 , -0.36844295, -1.78081459,  0.24386194, -1.11893784,
       -3.63806368])]"
39999,moveabsj,"[array([ 385.41827705, -135.43564461,  337.70669656])]","[array([-1.99437085, -0.34299505, -1.76370188,  0.28864841, -1.10631071,
       -3.59655613])]"
41665,moveabsj,"[array([356.51543435, -86.58274002, 312.25271197])]","[array([-1.96417943, -0.31994708, -1.74949656,  0.33420388, -1.09552367,
       -3.55383718])]"
43332,moveabsj,"[array([322.27854332, -43.4243981 , 292.34683015])]","[array([-1.93249631, -0.30036858, -1.73858135,  0.37943546, -1.0864564 ,
       -3.51106463])]"
44999,moveabsj,"[array([283.56060227,  -8.05294251, 277.22171096])]","[array([-1.89962543, -0.2849684 , -1.7312605 ,  0.42406901, -1.07913911,
       -3.46853809])]"
46665,moveabsj,"[array([241.63153331,  18.15816771, 266.10498325])]","[array([-1.86594412, -0.27428544, -1.72764789,  0.46787581, -1.07342301,
       -3.42655954])]"
48332,moveabsj,"[array([198.77592502,  35.70085747, 258.26721201])]","[array([-1.83238058, -0.26810588, -1.72691628,  0.50997739, -1.0682611 ,
       -3.38625204])]"
49999,moveabsj,"[array([159.20408   ,  46.9264477 , 253.02517818])]","[array([-1.80135781, -0.26568603, -1.727409  ,  0.54759146, -1.06214523,
       -3.35080904])]"
