breakpoints,primitives,p_bp,q_bp
0,moveabsj,"[array([ 140.18358872, -190.95457544, -283.86547208])]","[array([ 1.38535198,  0.14914758,  0.89264077, -2.32591472,  1.47657662,
        1.69461518])]"
1665,movel,"[array([ 133.35669033, -208.1151252 , -277.64900036])]","[array([ 1.37928671,  0.157578  ,  0.89699942, -2.3208388 ,  1.47347381,
        1.68732106])]"
3332,movel,"[array([ 124.75274813, -231.42927007, -268.7009721 ])]","[array([ 1.37713429,  0.16929133,  0.90454116, -2.31688127,  1.46493899,
        1.68126092])]"
4999,movel,"[array([ 117.20806664, -254.67360445, -258.75212756])]","[array([ 1.37441433,  0.18064551,  0.91230294, -2.31333647,  1.45795842,
        1.67390328])]"
6665,movel,"[array([ 110.3263345 , -276.87862998, -248.31221502])]","[array([ 1.37158603,  0.19161474,  0.91976058, -2.31005992,  1.4518282 ,
        1.66617644])]"
8332,movel,"[array([ 104.17174598, -296.26976381, -238.36295356])]","[array([ 1.36856868,  0.20162453,  0.9259682 , -2.30689668,  1.44680624,
        1.65867334])]"
9999,movel,"[array([  98.74044787, -312.45419045, -229.35225814])]","[array([ 1.36587301,  0.21068702,  0.9306314 , -2.30399682,  1.44231164,
        1.65197585])]"
11665,movel,"[array([  94.00475511, -326.46776792, -220.9319577 ])]","[array([ 1.36432024,  0.21938669,  0.93416999, -2.30172415,  1.43720749,
        1.64639015])]"
13332,movel,"[array([  90.0819928 , -339.11910926, -212.75127267])]","[array([ 1.3643685 ,  0.22810791,  0.93692448, -2.3003576 ,  1.43087534,
        1.64194486])]"
14999,movel,"[array([  87.2121523 , -350.53539343, -204.79184638])]","[array([ 1.36614847,  0.23686433,  0.93893049, -2.30006215,  1.42325616,
        1.63860434])]"
16665,movel,"[array([  85.65273576, -360.65560452, -197.1425071 ])]","[array([ 1.36972955,  0.24556804,  0.94014526, -2.30097562,  1.41442552,
        1.63633896])]"
18332,movel,"[array([  85.66174502, -369.32853153, -189.94985075])]","[array([ 1.37519242,  0.25409225,  0.94048916, -2.30323561,  1.40448701,
        1.6351471 ])]"
19999,movel,"[array([  87.50820147, -376.18341101, -183.51266163])]","[array([ 1.38260872,  0.26219503,  0.93979793, -2.30697241,  1.39364219,
        1.63508437])]"
21665,movel,"[array([  91.43430938, -380.93560938, -178.07401492])]","[array([ 1.39215238,  0.26968468,  0.93797145, -2.31235506,  1.38198581,
        1.63624596])]"
23332,movel,"[array([  97.66083703, -383.59309407, -173.64199839])]","[array([ 1.40420352,  0.27655154,  0.93507464, -2.31964366,  1.36932923,
        1.63876442])]"
24999,movel,"[array([ 106.41433688, -383.96817971, -170.31232644])]","[array([ 1.41918618,  0.28270551,  0.93111784, -2.329117  ,  1.35551609,
        1.6428482 ])]"
26665,movel,"[array([ 117.91637078, -381.10749323, -168.67243992])]","[array([ 1.43739632,  0.28767497,  0.92577667, -2.34099262,  1.34080121,
        1.64880691])]"
28332,movel,"[array([ 132.29898919, -373.54554464, -169.59007558])]","[array([ 1.45911708,  0.29075641,  0.91852576, -2.35547267,  1.32568309,
        1.65702192])]"
29999,movel,"[array([ 149.44763984, -359.98486798, -173.65911981])]","[array([ 1.48476592,  0.29139486,  0.90900101, -2.37277544,  1.31049367,
        1.66788378])]"
31665,movel,"[array([ 168.90979605, -339.17932988, -181.20598113])]","[array([ 1.51477733,  0.28915494,  0.89692533, -2.39306867,  1.29550634,
        1.6817498 ])]"
33332,movel,"[array([ 189.7700045 , -309.47481357, -192.54005134])]","[array([ 1.54920652,  0.2834592 ,  0.88184286, -2.41629881,  1.28144877,
        1.69877512])]"
34999,movel,"[array([ 210.46582244, -269.7223028 , -207.36095291])]","[array([ 1.58752164,  0.2740056 ,  0.86348774, -2.44205422,  1.26921841,
        1.71869044])]"
36665,movel,"[array([ 228.93765747, -220.58710896, -224.23900696])]","[array([ 1.62894581,  0.26140185,  0.84226506, -2.46967632,  1.25893972,
        1.74100955])]"
38332,movel,"[array([ 242.97095397, -164.59912521, -241.23191367])]","[array([ 1.67275677,  0.24706097,  0.81914134, -2.49836002,  1.24974093,
        1.76548526])]"
39999,movel,"[array([ 250.33528985, -105.66155222, -256.82126456])]","[array([ 1.71846983,  0.23280731,  0.79536452, -2.5271102 ,  1.2399398 ,
        1.79258458])]"
41665,movel,"[array([ 249.17547627,  -47.4057328 , -270.61049556])]","[array([ 1.76546515,  0.21999699,  0.77176055, -2.55480039,  1.22825952,
        1.82312721])]"
43332,movel,"[array([ 239.04259563,    8.47392174, -282.86949342])]","[array([ 1.81213279,  0.20872312,  0.74827812, -2.58051259,  1.21540282,
        1.85673436])]"
44999,movel,"[array([ 219.56732983,   61.08765055, -294.05342366])]","[array([ 1.85761602,  0.1987681 ,  0.72467519, -2.60359388,  1.20183652,
        1.89368992])]"
46665,movel,"[array([ 190.73294636,  110.29272573, -304.36688263])]","[array([ 1.90114395,  0.18960277,  0.70054646, -2.62363548,  1.18830359,
        1.9340322 ])]"
48332,movel,"[array([ 154.35067416,  157.41010211, -313.17081227])]","[array([ 1.94173948,  0.18014926,  0.67544012, -2.64112454,  1.17659468,
        1.97592353])]"
49999,movel,"[array([ 115.57686619,  202.66818665, -318.96974943])]","[array([ 1.97678968,  0.17001988,  0.65003075, -2.65681915,  1.16881704,
        2.01463327])]"
