breakpoints,primitives,p_bp,q_bp
0,moveabsj,"[array([1886.53799647,  245.76501643, -324.25851767])]","[array([ 1.36509805,  0.42293528, -0.6380976 ,  0.73863643,  1.08654758,
        1.05094824])]"
1665,movel,"[array([1834.08383773,  220.12545469, -327.1312668 ])]","[array([ 1.34936085,  0.42330744, -0.62838588,  0.71887493,  1.10009222,
        1.04257089])]"
3332,movel,"[array([1779.65269478,  199.50194398, -333.21149144])]","[array([ 1.332342  ,  0.41934206, -0.61898613,  0.69650788,  1.11211087,
        1.03516257])]"
4999,movel,"[array([1723.92917524,  184.1158618 , -342.34400261])]","[array([ 1.31599398,  0.41439896, -0.60947828,  0.67358041,  1.12716157,
        1.02627057])]"
6665,movel,"[array([1667.57783386,  173.85118028, -354.19645884])]","[array([ 1.30066991,  0.40850601, -0.59932083,  0.65139102,  1.14399059,
        1.01725003])]"
8332,movel,"[array([1611.05582937,  168.30439885, -368.35229509])]","[array([ 1.28685922,  0.40210614, -0.58790616,  0.6313517 ,  1.16201043,
        1.0090475 ])]"
9999,movel,"[array([1554.76318659,  166.91863027, -384.33894655])]","[array([ 1.27464817,  0.39508523, -0.57502047,  0.61398376,  1.18040084,
        1.00238697])]"
11665,movel,"[array([1498.93670139,  169.05373077, -401.69698807])]","[array([ 1.26371134,  0.38688334, -0.56092011,  0.59873626,  1.19847091,
        0.99745909])]"
13332,movel,"[array([1443.57473207,  174.07295656, -420.04372347])]","[array([ 1.25373   ,  0.37714074, -0.54587104,  0.58497399,  1.21598641,
        0.99412819])]"
14999,movel,"[array([1388.67569031,  181.37229233, -439.01590132])]","[array([ 1.24453312,  0.36580476, -0.53001175,  0.57241165,  1.2329127 ,
        0.99224745])]"
16665,movel,"[array([1334.17307102,  190.38960754, -458.29157752])]","[array([ 1.23596526,  0.35290032, -0.51341427,  0.5608708 ,  1.24924413,
        0.99170463])]"
18332,movel,"[array([1279.86511921,  200.62327963, -477.61404328])]","[array([ 1.22785404,  0.33845203, -0.49606691,  0.55022296,  1.26498978,
        0.99243964])]"
19999,movel,"[array([1225.6249072 ,  211.58743255, -496.70938688])]","[array([ 1.22005688,  0.32254331, -0.47790424,  0.54048596,  1.28011042,
        0.99447392])]"
21665,movel,"[array([1171.30902539,  222.80965006, -515.30882989])]","[array([ 1.21237053,  0.30518864, -0.45886397,  0.53160784,  1.29451444,
        0.99785385])]"
23332,movel,"[array([1116.66911485,  233.83368082, -533.16666807])]","[array([ 1.20445894,  0.28622649, -0.43891822,  0.52330059,  1.30806614,
        1.00261356])]"
24999,movel,"[array([1061.56258694,  244.15814531, -549.97624379])]","[array([ 1.19596601,  0.26552326, -0.41800845,  0.51535504,  1.32057551,
        1.00884998])]"
26665,movel,"[array([1005.87398036,  253.23904486, -565.39038295])]","[array([ 1.18661413,  0.24312026, -0.39585134,  0.50798931,  1.33187651,
        1.01682639])]"
28332,movel,"[array([ 949.43223073,  260.48676508, -579.03397723])]","[array([ 1.17611701,  0.21910878, -0.37200207,  0.50164743,  1.34182173,
        1.02691194])]"
29999,movel,"[array([ 892.24080617,  265.22180896, -590.44082204])]","[array([ 1.16405824,  0.19353316, -0.34616315,  0.49656997,  1.35018113,
        1.03940011])]"
31665,movel,"[array([ 834.4338548 ,  266.70591356, -599.09036757])]","[array([ 1.14994385,  0.1664864 , -0.31814486,  0.49288964,  1.35672043,
        1.05448968])]"
33332,movel,"[array([ 776.239953  ,  264.18512976, -604.44596348])]","[array([ 1.13342395,  0.13837843, -0.28773958,  0.49101502,  1.3613812 ,
        1.07226869])]"
34999,movel,"[array([ 718.22923937,  256.9840526 , -605.99634398])]","[array([ 1.11438993,  0.11000554, -0.25506488,  0.49128252,  1.36430099,
        1.0924368 ])]"
36665,movel,"[array([ 661.16913112,  244.65859393, -603.3926968 ])]","[array([ 1.09281123,  0.08220906, -0.22076574,  0.49329029,  1.36568705,
        1.11422842])]"
38332,movel,"[array([ 605.80850985,  227.08357231, -596.53516952])]","[array([ 1.06864634,  0.05566535, -0.18581649,  0.49593047,  1.36566099,
        1.136687  ])]"
39999,movel,"[array([ 552.93624753,  204.53732198, -585.61517644])]","[array([ 1.04181208,  0.03084177, -0.15136775,  0.4976764 ,  1.36402461,
        1.15897523])]"
41665,movel,"[array([ 503.11555058,  177.61292669, -571.07011207])]","[array([ 1.0124459 ,  0.00820748, -0.11830157,  0.49741057,  1.36047456,
        1.18057163])]"
43332,movel,"[array([ 456.50075992,  146.98477756, -553.43258834])]","[array([ 0.98144748, -0.0114713 , -0.08687044,  0.49526602,  1.35528633,
        1.20108664])]"
44999,movel,"[array([ 413.08469211,  113.35139784, -533.25555571])]","[array([ 0.94939346, -0.02787395, -0.05720225,  0.49119139,  1.34831944,
        1.22049553])]"
46665,movel,"[array([ 372.72127066,   77.34606922, -511.04340432])]","[array([ 0.91689841, -0.04079379, -0.02928935,  0.48516162,  1.33945992,
        1.23884471])]"
48332,movel,"[array([ 335.10858829,   39.42303347, -487.17903209])]","[array([ 0.88495498, -0.05008685, -0.00276052,  0.47795175,  1.3292793 ,
        1.25608743])]"
49999,movel,"[array([ 2.99997376e+02,  1.10850460e-04, -4.62000471e+02])]","[array([ 0.8553605 , -0.05581905,  0.02282991,  0.47037265,  1.32019608,
        1.27119329])]"
