breakpoints,primitives,p_bp,q_bp
0,moveabsj_fit,"[array([ 240.78655965, -373.07558232, -339.34674333])]","[array([-2.02415377,  2.06403423, -2.06452361, -0.69456778, -1.23164509,
        1.80061746])]"
1633,moveabsj_fit,"[array([ 226.47993261, -393.31159152, -343.67660983])]","[array([-2.03764107,  2.05165737, -2.07401002, -0.69518094, -1.2366164 ,
        1.79397344])]"
3258,moveabsj_fit,"[array([ 208.12647429, -418.94211785, -347.6269819 ])]","[array([-2.05066614,  2.03462127, -2.08829037, -0.69256471, -1.24728466,
        1.78848476])]"
4914,moveabsj_fit,"[array([ 187.95916491, -445.46286509, -351.26136094])]","[array([-2.06700945,  2.01844527, -2.1019066 , -0.69093575, -1.2564553 ,
        1.78103852])]"
6641,moveabsj_fit,"[array([ 165.85621196, -473.05124312, -353.48308354])]","[array([-2.0866884 ,  2.00220958, -2.11545   , -0.68872659, -1.26475219,
        1.7728799 ])]"
8491,moveabsj_fit,"[array([ 142.38722592, -500.94763529, -353.03048046])]","[array([-2.11043161,  1.98580936, -2.12861079, -0.6845616 , -1.2716133 ,
        1.76511317])]"
10532,moveabsj_fit,"[array([ 117.68898114, -529.30173788, -348.49758597])]","[array([-2.13868332,  1.96820859, -2.14195618, -0.67627227, -1.27752572,
        1.75915967])]"
12873,moveabsj_fit,"[array([  90.59910922, -559.87971669, -338.26600211])]","[array([-2.17194691,  1.9471063 , -2.15729785, -0.66105394, -1.28431872,
        1.75628144])]"
15755,moveabsj_fit,"[array([  59.28804341, -594.94090968, -318.95040986])]","[array([-2.21272902,  1.91928849, -2.17679181, -0.63412555, -1.29357728,
        1.75824106])]"
20154,moveabsj_fit,"[array([  19.2690933 , -640.94104572, -276.3211838 ])]","[array([-2.27263399,  1.87382594, -2.20662791, -0.57592968, -1.30808159,
        1.77234148])]"
23480,moveabsj_fit,"[array([-4.17298398e-01, -6.67919161e+02, -2.33571393e+02])]","[array([-2.31429297,  1.83740676, -2.22822457, -0.51654087, -1.31751585,
        1.7923208 ])]"
26380,moveabsj_fit,"[array([  -6.8461275 , -685.32847397, -187.96501234])]","[array([-2.34607797,  1.80329273, -2.24658601, -0.45090721, -1.32395383,
        1.81703174])]"
28692,moveabsj_fit,"[array([  -0.72453151, -692.56350338, -145.12879654])]","[array([-2.36710023,  1.77502289, -2.25968497, -0.38666694, -1.32571093,
        1.84273923])]"
30688,moveabsj_fit,"[array([  14.97236642, -691.79976543, -103.05211707])]","[array([-2.3810753 ,  1.75029263, -2.26903977, -0.32101895, -1.32328563,
        1.86986309])]"
32478,moveabsj_fit,"[array([  38.09773792, -683.64542229,  -61.25945993])]","[array([-2.38945976,  1.72829309, -2.27531394, -0.25346408, -1.3170063 ,
        1.89821068])]"
34135,moveabsj_fit,"[array([  66.86298351, -667.9556991 ,  -19.59113097])]","[array([-2.393316  ,  1.70894076, -2.27856875, -0.18413304, -1.30678353,
        1.9275358 ])]"
35713,moveabsj_fit,"[array([  99.03723889, -644.81626869,   21.94255367])]","[array([-2.39342991,  1.69206359, -2.27907658, -0.11350222, -1.29293421,
        1.95755452])]"
37254,moveabsj_fit,"[array([ 132.11155486, -614.74157025,   63.13437586])]","[array([-2.39029348,  1.67713466, -2.27752154, -0.04210171, -1.27630028,
        1.98808248])]"
38799,moveabsj_fit,"[array([ 163.89928503, -578.29669841,  103.67572517])]","[array([-2.38403766,  1.66326054, -2.27486084,  0.03002741, -1.25791757,
        2.01929555])]"
40386,moveabsj_fit,"[array([ 192.62239984, -535.89130463,  142.89443484])]","[array([-2.37425398,  1.64917013, -2.2723357 ,  0.10331007, -1.23895421,
        2.0517621 ])]"
42055,moveabsj_fit,"[array([ 216.91477591, -487.7496515 ,  179.76453234])]","[array([-2.36036192,  1.63380723, -2.27088829,  0.17818299, -1.22012623,
        2.08599087])]"
43843,moveabsj_fit,"[array([ 235.54164683, -434.57153416,  213.09797366])]","[array([-2.34223146,  1.61690386, -2.27072321,  0.25425544, -1.20150069,
        2.12178666])]"
45781,moveabsj_fit,"[array([ 247.20268263, -377.12214718,  241.08911401])]","[array([-2.31874011,  1.59710504, -2.27302559,  0.33175477, -1.18386   ,
        2.15979019])]"
47915,moveabsj_fit,"[array([ 250.76634095, -317.05059281,  262.16116217])]","[array([-2.2892792 ,  1.57357547, -2.27836913,  0.41046047, -1.16746138,
        2.19986555])]"
49999,moveabsj_fit,"[array([ 246.97984706, -265.92363813,  275.07993406])]","[array([-2.26127693,  1.55147753, -2.28414004,  0.47757699, -1.15348889,
        2.23420593])]"
