breakpoints,primitives,p_bp,q_bp
0,moveabsj,"[array([ 853.32512652,  289.89620711, 2595.79157784])]","[array([ 0.54730635, -0.5249789 ,  0.5094432 , -2.74792685,  1.60926214,
       -1.51885438])]"
1665,movel,"[array([1202.43304525,  110.71834922, 2297.48954703])]","[array([ 0.36364152, -0.4331581 ,  0.65858995, -2.55062341,  1.56522677,
       -1.49324921])]"
3332,movel,"[array([1239.72066805,   92.718957  , 2260.26196683])]","[array([ 0.3516655 , -0.4150672 ,  0.66840704, -2.52489404,  1.56140576,
       -1.49110135])]"
4999,movel,"[array([1277.71128821,   77.01589205, 2219.7076804 ])]","[array([ 0.3409113 , -0.39672003,  0.67970629, -2.50069927,  1.55500042,
       -1.49059926])]"
6665,movel,"[array([1315.28943655,   62.43223348, 2177.92620595])]","[array([ 0.33052806, -0.37766115,  0.69084979, -2.47850759,  1.547412  ,
       -1.49065509])]"
8332,movel,"[array([1352.43060245,   48.56844916, 2136.99583354])]","[array([ 0.3193761 , -0.35752729,  0.70051812, -2.46020773,  1.53861617,
       -1.49116789])]"
9999,movel,"[array([1388.69720997,   34.87371691, 2098.10042858])]","[array([ 0.3071351 , -0.33655154,  0.70817221, -2.44611786,  1.52888447,
       -1.49152551])]"
11665,movel,"[array([1423.55964164,   22.00979789, 2060.8468943 ])]","[array([ 0.29524781, -0.31476781,  0.71398676, -2.43448239,  1.51960357,
       -1.49132735])]"
13332,movel,"[array([1456.80807686,   10.13288553, 2024.94257429])]","[array([ 0.28431737, -0.29256463,  0.71825593, -2.424142  ,  1.51088985,
       -1.49048761])]"
14999,movel,"[array([ 1.48834908e+03, -8.79721437e-01,  1.99027374e+03])]","[array([ 0.27436929, -0.2702531 ,  0.72126131, -2.41468026,  1.50272591,
       -1.48892218])]"
16665,movel,"[array([1518.04031153,  -10.93288913, 1956.50267363])]","[array([ 0.26552826, -0.24801026,  0.7234617 , -2.40582087,  1.49542948,
       -1.48655303])]"
18332,movel,"[array([1545.9884729 ,  -20.2817494 , 1923.71178181])]","[array([ 0.25762322, -0.2258627 ,  0.72482898, -2.39731694,  1.48899421,
       -1.48335055])]"
19999,movel,"[array([1572.16240278,  -29.17333328, 1892.07220001])]","[array([ 0.25043411, -0.20390302,  0.72542304, -2.38918334,  1.48353505,
       -1.47921736])]"
21665,movel,"[array([1596.45860297,  -37.84403499, 1861.67786746])]","[array([ 0.24384657, -0.18224841,  0.72535109, -2.38124528,  1.47922868,
       -1.47404299])]"
23332,movel,"[array([1618.54380017,  -46.7209315 , 1832.32834389])]","[array([ 0.23784477, -0.16107623,  0.72492468, -2.37284567,  1.47644383,
       -1.46751819])]"
24999,movel,"[array([1638.23282916,  -56.11459405, 1804.32330296])]","[array([ 0.23249529, -0.14041099,  0.72393268, -2.36320463,  1.47551297,
       -1.45955074])]"
26665,movel,"[array([1655.33596748,  -66.50538717, 1778.21827177])]","[array([ 0.22746871, -0.12036253,  0.72225804, -2.35237284,  1.47671523,
       -1.44988751])]"
28332,movel,"[array([1669.62577227,  -78.64340398, 1754.54950559])]","[array([ 0.22214859, -0.10110091,  0.71995793, -2.34082069,  1.48031564,
       -1.43803305])]"
29999,movel,"[array([1681.01304957,  -92.69908374, 1734.10023662])]","[array([ 0.21654049, -0.08254812,  0.7165046 , -2.32817021,  1.48678245,
       -1.42389751])]"
31665,movel,"[array([1688.97417519, -109.60889559, 1716.90490044])]","[array([ 0.21023393, -0.0650488 ,  0.71218771, -2.31400071,  1.49630277,
       -1.40700812])]"
33332,movel,"[array([1693.67620164, -129.21090005, 1703.29264766])]","[array([ 0.20331149, -0.04834925,  0.7065053 , -2.29802719,  1.50906238,
       -1.38758349])]"
34999,movel,"[array([1695.46886064, -151.90458845, 1692.76472801])]","[array([ 0.19523669, -0.03227035,  0.6995691 , -2.28069275,  1.52456554,
       -1.36561981])]"
36665,movel,"[array([1694.80841385, -177.20494511, 1683.83726573])]","[array([ 0.18631127, -0.01672682,  0.69177908, -2.26137471,  1.54170735,
       -1.34203771])]"
38332,movel,"[array([1692.12280021, -204.68753148, 1674.01928372])]","[array([ 1.76998465e-01, -1.38043731e-03,  6.83902056e-01, -2.23882081e+00,
        1.55945149e+00, -1.31747288e+00])]"
39999,movel,"[array([1687.57275364, -233.95542798, 1660.56859243])]","[array([ 0.16784751,  0.01392116,  0.67699042, -2.21148963,  1.57664288,
       -1.2924976 ])]"
41665,movel,"[array([1681.7365731 , -264.400008  , 1641.66157247])]","[array([ 0.15927577,  0.02956437,  0.67136219, -2.178496  ,  1.59206964,
       -1.26785553])]"
43332,movel,"[array([1676.23036849, -294.94280851, 1617.23730324])]","[array([ 0.15097054,  0.04600716,  0.66683305, -2.14233103,  1.60413612,
       -1.24452238])]"
44999,movel,"[array([1671.84979601, -325.18547109, 1587.37910796])]","[array([ 0.1427917 ,  0.06358831,  0.66306749, -2.10403365,  1.61203467,
       -1.22289841])]"
46665,movel,"[array([1669.42492275, -354.69790871, 1552.56675592])]","[array([ 0.1346896 ,  0.08260066,  0.65942301, -2.06458197,  1.61503414,
       -1.20352774])]"
48332,movel,"[array([1670.23054983, -382.49554114, 1514.47502024])]","[array([ 0.12665644,  0.1033283 ,  0.65483516, -2.02629037,  1.61284641,
       -1.18696448])]"
49999,movel,"[array([1707.45493741, -472.99455422, 1352.62834619])]","[array([ 0.09587077,  0.20985273,  0.61228128, -1.89859939,  1.57718899,
       -1.13726276])]"
