breakpoints,primitives,p_bp,q_bp
0,moveabsj_fit,"[array([ 83.5914951 , 514.20502833, 575.47080951])]","[array([-0.07493424, -0.31190476, -1.96643372, -2.9643039 ,  1.18459469,
       -1.09140906])]"
789,movel_fit,"[array([ 84.51656561, 516.97323557, 580.69259605])]","[array([-0.07260842, -0.31704067, -1.96966134, -2.96867853,  1.18711224,
       -1.0950289 ])]"
1571,movel_fit,"[array([ 84.43249955, 519.02737236, 586.40643045])]","[array([-0.06622024, -0.32321329, -1.97578519, -2.96790914,  1.19410438,
       -1.09620427])]"
2390,movel_fit,"[array([ 84.26597884, 521.80890095, 593.12516638])]","[array([-0.05956485, -0.32949868, -1.98214822, -2.96716462,  1.20194142,
       -1.09822193])]"
3404,movel_fit,"[array([ 83.71783886, 525.8910374 , 602.00630113])]","[array([-0.05139521, -0.33679392, -1.98990081, -2.96662156,  1.21158193,
       -1.10162926])]"
4411,movel_fit,"[array([ 82.6403658 , 530.60918596, 611.22587324])]","[array([-0.04350406, -0.34358096, -1.99685061, -2.96682083,  1.22072385,
       -1.10608894])]"
5487,movel_fit,"[array([ 80.69200117, 535.98286184, 621.17741266])]","[array([-0.0347218 , -0.35033233, -2.00410914, -2.96703003,  1.23023342,
       -1.11133674])]"
6476,movel_fit,"[array([ 78.0341866 , 541.10464481, 630.11953255])]","[array([-0.0263545 , -0.35615565, -2.01010483, -2.96737734,  1.23843459,
       -1.11651823])]"
7379,movel_fit,"[array([ 74.88987332, 545.68969442, 637.76025965])]","[array([-0.01846662, -0.3610274 , -2.01511871, -2.9677798 ,  1.24512264,
       -1.1212754 ])]"
8292,movel_fit,"[array([ 71.0101026 , 550.12295292, 644.78875286])]","[array([-0.01022803, -0.36554327, -2.01959112, -2.96822488,  1.25100957,
       -1.1259734 ])]"
9239,movel_fit,"[array([ 66.25415459, 554.38902587, 651.20709735])]","[array([-1.28864740e-03, -3.69807267e-01, -2.02366144e+00, -2.96850285e+00,
        1.25625338e+00, -1.13052225e+00])]"
10205,movel_fit,"[array([ 60.67687352, 558.36308569, 656.8616532 ])]","[array([ 0.0083435 , -0.37376621, -2.02734192, -2.96832496,  1.26095278,
       -1.13470567])]"
11194,movel_fit,"[array([ 54.26851835, 562.04225268, 661.80568614])]","[array([ 0.01880922, -0.37745735, -2.03079069, -2.96741402,  1.2653788 ,
       -1.13844241])]"
12208,movel_fit,"[array([ 47.02805525, 565.41937739, 666.06813134])]","[array([ 0.03018686, -0.38089877, -2.03409232, -2.96556617,  1.26972834,
       -1.14167634])]"
13252,movel_fit,"[array([ 38.94122515, 568.4755213 , 669.64473541])]","[array([ 0.04254651, -0.38409241, -2.03729658, -2.96263728,  1.27411292,
       -1.14436355])]"
14328,movel_fit,"[array([ 30.01491807, 571.1572167 , 672.46942357])]","[array([ 0.0559078 , -0.38701226, -2.04039319, -2.95851889,  1.27855906,
       -1.14643919])]"
15438,movel_fit,"[array([ 20.26083233, 573.39884707, 674.45938922])]","[array([ 0.07028734, -0.38962142, -2.0433635 , -2.95309678,  1.28307587,
       -1.14782992])]"
16585,movel_fit,"[array([  9.68092448, 575.12656316, 675.52142392])]","[array([ 0.08572296, -0.39187672, -2.04618442, -2.94622753,  1.28767708,
       -1.14845328])]"
17773,movel_fit,"[array([ -1.72983422, 576.24175733, 675.52263901])]","[array([ 0.10226828, -0.39371713, -2.04881052, -2.93774308,  1.29234602,
       -1.14820431])]"
19001,movel_fit,"[array([-13.91930531, 576.59793364, 674.2597525 ])]","[array([ 0.11990227, -0.39504453, -2.05113714, -2.92750375,  1.29697071,
       -1.14694407])]"
20268,movel_fit,"[array([-26.82441938, 576.01961576, 671.49252326])]","[array([ 0.13860503, -0.39573865, -2.05303343, -2.91534826,  1.30140109,
       -1.14451314])]"
21580,movel_fit,"[array([-40.46720041, 574.32199188, 666.99049351])]","[array([ 0.15850601, -0.39566999, -2.05440759, -2.90094194,  1.30559087,
       -1.14072753])]"
22944,movel_fit,"[array([-54.91700734, 571.3045206 , 660.55786827])]","[array([ 0.1798387 , -0.3946831 , -2.05522207, -2.88375029,  1.30964048,
       -1.13537134])]"
24367,movel_fit,"[array([-70.26570446, 566.68268253, 651.93198523])]","[array([ 0.20290535, -0.39255216, -2.05540857, -2.86307592,  1.31365071,
       -1.12815622])]"
25829,movel_fit,"[array([-86.28367898, 560.07558171, 640.77534629])]","[array([ 0.22754545, -0.38896681, -2.05470713, -2.83864585,  1.31729818,
       -1.11883613])]"
