breakpoints,primitives,p_bp,q_bp
0,moveabsj_fit,"[array([1164.60607924,  131.11571325, 2331.55852626])]","[array([ 0.38130706, -0.44916342,  0.64793927, -2.57075061,  1.57160464,
       -1.49467167])]"
1405,movel_fit,"[array([1197.60493596,  114.46662172, 2303.15257209])]","[array([ 0.36614474, -0.43471272,  0.65624027, -2.55436086,  1.56626504,
       -1.49457428])]"
2796,movel_fit,"[array([1227.78071284,   98.69032178, 2273.01911363])]","[array([ 0.35599197, -0.42023546,  0.66424938, -2.53240855,  1.56360636,
       -1.491662  ])]"
4265,movel_fit,"[array([1261.4562903 ,   84.3062172 , 2237.89423521])]","[array([ 0.34579915, -0.4044305 ,  0.67434361, -2.51126671,  1.55799284,
       -1.49117778])]"
5782,movel_fit,"[array([1295.67785622,   70.43523536, 2200.3067871 ])]","[array([ 0.33628273, -0.38752949,  0.68466157, -2.48991098,  1.55166797,
       -1.49067584])]"
7373,movel_fit,"[array([1331.42840907,   56.84201937, 2160.49026075])]","[array([ 0.32607837, -0.36892091,  0.69486993, -2.4702768 ,  1.54381687,
       -1.49094006])]"
9008,movel_fit,"[array([1367.5473552 ,   43.26225086, 2121.07475901])]","[array([ 0.31463676, -0.34872312,  0.7035369 , -2.45403838,  1.53491284,
       -1.49137008])]"
10693,movel_fit,"[array([1403.76800887,   29.80732136, 2082.46852837])]","[array([ 0.30236445, -0.32697167,  0.71036186, -2.44091683,  1.52535961,
       -1.49165945])]"
12443,movel_fit,"[array([1439.65446928,   16.69236245, 2044.06599203])]","[array([ 0.29026661, -0.30386647,  0.71564196, -2.42933455,  1.51582939,
       -1.49121318])]"
14287,movel_fit,"[array([1475.40569225,    4.01870065, 2004.989771  ])]","[array([ 0.2787226 , -0.27927547,  0.71970787, -2.41843411,  1.50650812,
       -1.48985175])]"
16238,movel_fit,"[array([1510.89094917,   -8.15916377, 1965.04347318])]","[array([ 0.2678975 , -0.2532086 ,  0.72264893, -2.40788747,  1.49762417,
       -1.48734909])]"
18310,movel_fit,"[array([1545.91113724,  -19.9281032 , 1924.05009683])]","[array([ 0.25787551, -0.22567179,  0.72455469, -2.39731973,  1.48948085,
       -1.48343366])]"
20510,movel_fit,"[array([1580.08879513,  -31.5946675 , 1882.40793079])]","[array([ 0.2485084 , -0.19674605,  0.72530041, -2.38666061,  1.48250469,
       -1.47773521])]"
22847,movel_fit,"[array([1612.76652378,  -43.78801057, 1840.58621708])]","[array([ 0.23966265, -0.16659464,  0.72480401, -2.37539681,  1.47746352,
       -1.46959674])]"
25363,movel_fit,"[array([1642.71535236,  -57.89012154, 1798.09379057])]","[array([ 0.23146759, -0.13530787,  0.72344406, -2.36119593,  1.47592442,
       -1.4575328 ])]"
27848,movel_fit,"[array([1666.15531571,  -74.54214217, 1760.42592955])]","[array([ 0.22381335, -0.10596001,  0.72086061, -2.34458845,  1.47949377,
       -1.44133744])]"
29954,movel_fit,"[array([1680.98971424,  -92.12010403, 1734.08618306])]","[array([ 0.21661996, -0.08244914,  0.71677954, -2.32903441,  1.48718521,
       -1.42372105])]"
31729,movel_fit,"[array([1689.41401898, -110.09880056, 1715.8928418 ])]","[array([ 0.20997251, -0.06379354,  0.71208087, -2.31381674,  1.49743933,
       -1.40569708])]"
33254,movel_fit,"[array([1693.62895517, -128.22985712, 1703.52769563])]","[array([ 0.20353165, -0.04863088,  0.70690619, -2.29920308,  1.50903593,
       -1.38787407])]"
34622,movel_fit,"[array([1695.3599445 , -146.54206636, 1694.7273552 ])]","[array([ 0.19705599, -0.03558009,  0.70131891, -2.2850253 ,  1.5212172 ,
       -1.37034482])]"
35889,movel_fit,"[array([1695.41506855, -165.13596698, 1687.84082841])]","[array([ 0.19051734, -0.02384923,  0.69552048, -2.27075946,  1.53364668,
       -1.35304972])]"
37105,movel_fit,"[array([1694.26871925, -184.26862742, 1681.39917242])]","[array([ 0.18391319, -0.01278231,  0.68970257, -2.25564344,  1.54617515,
       -1.33576128])]"
38302,movel_fit,"[array([1692.14189363, -204.15190295, 1674.22928809])]","[array([ 1.77281941e-01, -1.95680928e-03,  6.84072157e-01, -2.23894024e+00,
        1.55866759e+00, -1.31831431e+00])]"
39511,movel_fit,"[array([1689.06202475, -225.13751906, 1665.11951706])]","[array([ 0.17066276,  0.00900129,  0.67885558, -2.21964716,  1.57104528,
       -1.30044467])]"
40753,movel_fit,"[array([1684.98996086, -247.52667565, 1652.90346065])]","[array([ 0.16409593,  0.02037559,  0.67428992, -2.1967856 ,  1.58308818,
       -1.28200387])]"
42041,movel_fit,"[array([1680.31913696, -271.27710309, 1636.81096907])]","[array([ 0.15751468,  0.03249915,  0.67038206, -2.17024104,  1.59418674,
       -1.26320963])]"
43385,movel_fit,"[array([1675.96403117, -295.95077645, 1616.62237798])]","[array([ 0.15077073,  0.04580308,  0.66684069, -2.14092841,  1.6034662 ,
       -1.24457475])]"
44801,movel_fit,"[array([1672.26693817, -321.61272708, 1591.62656712])]","[array([ 0.14378959,  0.06068228,  0.66355416, -2.10866107,  1.61034412,
       -1.22619233])]"
46323,movel_fit,"[array([1669.55513814, -348.78236586, 1560.46928187])]","[array([ 0.13636326,  0.07781541,  0.66034067, -2.07264653,  1.61404227,
       -1.20801143])]"
47972,movel_fit,"[array([1669.45463001, -376.71673539, 1523.22564815])]","[array([ 0.1283159 ,  0.09797212,  0.65637807, -2.03469984,  1.61324006,
       -1.19078825])]"
49722,movel_fit,"[array([1674.04697633, -402.97274971, 1482.07005142])]","[array([ 0.12008574,  0.12117899,  0.65077561, -1.99893418,  1.60705321,
       -1.17583339])]"
49999,movel_fit,"[array([1676.25241855, -405.91235196, 1475.27049124])]","[array([ 0.11908452,  0.12524049,  0.64975528, -1.99478405,  1.60494925,
       -1.17434072])]"
