breakpoints,primitives,p_bp,q_bp
0,moveabsj,"[array([1163.91761955,  130.89079704, 2306.67586205])]","[array([ 0.38198271, -0.44826252,  0.66870076, -2.56947562,  1.59091907,
       -1.48194042])]"
1665,movel,"[array([1202.9181837 ,  111.38403691, 2272.65019899])]","[array([ 0.36449752, -0.43042707,  0.67824395, -2.5496755 ,  1.58465983,
       -1.48120215])]"
3332,movel,"[array([1240.17048375,   93.45256081, 2235.19866983])]","[array([ 0.35217952, -0.41215964,  0.68823605, -2.52475744,  1.57993075,
       -1.47853304])]"
4999,movel,"[array([1278.00228369,   77.54179475, 2194.75209382])]","[array([ 0.34118988, -0.39316728,  0.69912272, -2.50087954,  1.57339268,
       -1.47719209])]"
6665,movel,"[array([1315.543709  ,   62.87556568, 2153.16069675])]","[array([ 0.33064121, -0.37331084,  0.70969056, -2.4790365 ,  1.56568826,
       -1.47652129])]"
8332,movel,"[array([1352.64278832,   48.85925757, 2112.29670878])]","[array([ 0.31937632, -0.35235822,  0.71882136, -2.46090641,  1.55693005,
       -1.4763516 ])]"
9999,movel,"[array([1388.90856074,   35.32119543, 2073.3015022 ])]","[array([ 0.30737805, -0.33040132,  0.72590308, -2.44668836,  1.54759514,
       -1.47626652])]"
11665,movel,"[array([1423.77769885,   22.47971159, 2036.08380192])]","[array([ 0.29557405, -0.30783644,  0.73113453, -2.43504217,  1.53836536,
       -1.47575649])]"
13332,movel,"[array([1456.98344713,   10.53231466, 2000.16942061])]","[array([ 0.28462046, -0.28497727,  0.73494859, -2.42480444,  1.52963572,
       -1.47456507])]"
14999,movel,"[array([ 1.48844156e+03, -4.65210645e-01,  1.96536792e+03])]","[array([ 0.27469958, -0.26203115,  0.73762521, -2.41548176,  1.52156689,
       -1.47263076])]"
16665,movel,"[array([1518.11738033,  -10.57686557, 1931.58669808])]","[array([ 0.26581592, -0.23914655,  0.7393705 , -2.40676713,  1.51427027,
       -1.46991734])]"
18332,movel,"[array([1546.0293661 ,  -19.974746  , 1898.76505471])]","[array([ 0.25786672, -0.21639784,  0.7403275 , -2.39843134,  1.50784278,
       -1.46637079])]"
19999,movel,"[array([1572.16641302,  -28.88923469, 1867.07235795])]","[array([ 0.25066172, -0.19386376,  0.74052653, -2.39042406,  1.50238736,
       -1.46193512])]"
21665,movel,"[array([1596.43184131,  -37.59850689, 1836.64445238])]","[array([ 0.24406825, -0.17164557,  0.74002764, -2.38253771,  1.49808718,
       -1.45648232])]"
23332,movel,"[array([1618.57158188,  -46.45925604, 1807.37124516])]","[array([ 0.23808784, -0.14986818,  0.7390315 , -2.3741446 ,  1.49526575,
       -1.44974402])]"
24999,movel,"[array([1638.22993825,  -55.91250979, 1779.32439246])]","[array([ 0.23266743, -0.12869646,  0.73768134, -2.36465127,  1.49429613,
       -1.44141286])]"
26665,movel,"[array([1655.23483639,  -66.45592999, 1753.08541152])]","[array([ 0.2274898 , -0.10822469,  0.73581072, -2.35403602,  1.49544645,
       -1.43126633])]"
28332,movel,"[array([1669.53861768,  -78.59431335, 1729.44422465])]","[array([ 0.22214445, -0.08849225,  0.73309316, -2.34251211,  1.49895189,
       -1.41910444])]"
29999,movel,"[array([1680.87069622,  -92.82682715, 1708.9343711 ])]","[array([ 0.21641296, -0.06963922,  0.72938304, -2.329833  ,  1.5051619 ,
       -1.40464444])]"
31665,movel,"[array([1688.88324215, -109.65105992, 1691.79512817])]","[array([ 0.21016011, -0.05180915,  0.72464786, -2.31546932,  1.51439585,
       -1.38760983])]"
33332,movel,"[array([1693.59844016, -129.40250443, 1678.17864385])]","[array([ 0.20312118, -0.03497771,  0.71871641, -2.29933656,  1.52661046,
       -1.3680062 ])]"
34999,movel,"[array([1695.39450103, -152.0545965 , 1667.69019305])]","[array([ 0.19511837, -0.01898654,  0.71153574, -2.28154711,  1.54128159,
       -1.34622663])]"
36665,movel,"[array([1694.71791486, -177.30896003, 1658.74566757])]","[array([ 0.18631606, -0.00356595,  0.70352847, -2.26159411,  1.55755675,
       -1.32282698])]"
38332,movel,"[array([1692.00114042, -204.73621679, 1648.88498604])]","[array([ 0.17713123,  0.01164158,  0.69547372, -2.23839901,  1.57438038,
       -1.29837877])]"
39999,movel,"[array([1687.48471808, -233.91132949, 1635.44647963])]","[array([ 0.16809009,  0.02692157,  0.68829881, -2.21054341,  1.59065273,
       -1.27338361])]"
41665,movel,"[array([1681.68079217, -264.34043238, 1616.57477334])]","[array([ 0.15945874,  0.04259449,  0.68251471, -2.17748463,  1.60512708,
       -1.24846885])]"
43332,movel,"[array([1676.19953655, -294.94895   , 1592.19829969])]","[array([ 0.15107657,  0.05920541,  0.67770262, -2.14120791,  1.61629586,
       -1.22473975])]"
44999,movel,"[array([1671.89114183, -325.17425468, 1562.44438573])]","[array([ 0.14287048,  0.0770673 ,  0.67351961, -2.10286433,  1.62332888,
       -1.2027446 ])]"
46665,movel,"[array([1669.54145519, -354.56711718, 1527.74473239])]","[array([ 0.13474572,  0.09643942,  0.66950171, -2.06369483,  1.6255868 ,
       -1.1829424 ])]"
48332,movel,"[array([1670.34960419, -382.19139317, 1489.67711089])]","[array([ 0.1266542 ,  0.11751162,  0.66479863, -2.02614764,  1.62279718,
       -1.16584693])]"
49999,movel,"[array([1676.63963779, -405.43470145, 1450.7149374 ])]","[array([ 0.11917241,  0.14035742,  0.65865646, -1.99473905,  1.61488993,
       -1.15254766])]"
