breakpoints,primitives,p_bp,q_bp
0,moveabsj,"[array([ 590.12028904,  678.71570487, 2570.87304842])]","[array([ 1.07398625, -0.53024549,  0.53431809, -2.74935626,  1.6287525 ,
       -1.51384558])]"
1665,movel,"[array([ 985.98812606,  697.25617841, 2272.70310496])]","[array([ 0.88717345, -0.4315559 ,  0.67906328, -2.55085411,  1.58330352,
       -1.48103697])]"
3332,movel,"[array([1027.3303554 ,  700.7930608 , 2235.46250353])]","[array([ 0.87557799, -0.41213228,  0.6880521 , -2.52486903,  1.57997183,
       -1.47830886])]"
4999,movel,"[array([1067.99719796,  705.66159003, 2194.62177594])]","[array([ 0.86453107, -0.39341214,  0.69940883, -2.5008954 ,  1.57346045,
       -1.47686257])]"
6665,movel,"[array([1107.83408195,  711.79623313, 2152.90689792])]","[array([ 0.85417575, -0.37350631,  0.70996685, -2.4787295 ,  1.56583679,
       -1.47633716])]"
8332,movel,"[array([1146.91201825,  718.57704682, 2112.06195579])]","[array([ 0.84314436, -0.3524931 ,  0.7190032 , -2.46056747,  1.55693849,
       -1.47650717])]"
9999,movel,"[array([1185.10514178,  724.64770311, 2072.92098532])]","[array([ 0.83081962, -0.33086338,  0.72646761, -2.44666974,  1.54732552,
       -1.47623371])]"
11665,movel,"[array([1221.79968032,  730.90352185, 2035.80568767])]","[array([ 0.81886455, -0.30831277,  0.73166084, -2.43521623,  1.53796174,
       -1.47565992])]"
13332,movel,"[array([1256.52262483,  737.34925835, 1999.99568771])]","[array([ 0.80803186, -0.28540386,  0.73532256, -2.4249261 ,  1.52913591,
       -1.47467395])]"
14999,movel,"[array([1289.32353088,  743.66296414, 1965.36800814])]","[array([ 0.79814572, -0.26237354,  0.73778125, -2.41557631,  1.52099775,
       -1.47284813])]"
16665,movel,"[array([1320.08323476,  749.4021207 , 1931.30185373])]","[array([ 0.78901649, -0.2396861 ,  0.7399426 , -2.40707308,  1.51366537,
       -1.46986251])]"
18332,movel,"[array([1348.99490307,  755.57029863, 1898.79545123])]","[array([ 0.78130794, -0.21676525,  0.74043773, -2.39849605,  1.50714679,
       -1.46668241])]"
19999,movel,"[array([1376.05308796,  760.82700003, 1867.00299143])]","[array([ 0.77406126, -0.19433169,  0.74079074, -2.39052985,  1.50164536,
       -1.46222339])]"
21665,movel,"[array([1401.45594129,  765.36615806, 1836.55200122])]","[array([ 0.76737795, -0.17205449,  0.74032934, -2.38279798,  1.4974451 ,
       -1.45660552])]"
23332,movel,"[array([1425.0468121 ,  768.91994837, 1807.39096366])]","[array([ 0.761481  , -0.15041229,  0.73925764, -2.37437674,  1.49428392,
       -1.45020398])]"
24999,movel,"[array([1446.77008098,  770.64222855, 1779.36007244])]","[array([ 0.7561646 , -0.12932535,  0.73787   , -2.36471659,  1.4931367 ,
       -1.44211253])]"
26665,movel,"[array([1466.73921939,  770.12267581, 1753.15869049])]","[array([ 0.75110735, -0.10871396,  0.7358682 , -2.35394606,  1.49449024,
       -1.4319615 ])]"
28332,movel,"[array([1485.20470795,  766.76137094, 1729.5204706 ])]","[array([ 0.74578873, -0.08910183,  0.73315612, -2.34231553,  1.49776937,
       -1.41999127])]"
29999,movel,"[array([1502.08249157,  760.23165455, 1709.03772652])]","[array([ 0.74016733, -0.07033664,  0.7294264 , -2.32953969,  1.50381829,
       -1.40575826])]"
31665,movel,"[array([1517.47385974,  749.50210572, 1691.83454662])]","[array([ 0.73380525, -0.05252342,  0.72478825, -2.31524283,  1.51308668,
       -1.38858486])]"
33332,movel,"[array([1531.29257213,  735.08634561, 1678.2656947 ])]","[array([ 0.72699958, -0.03538239,  0.71869244, -2.29906446,  1.52583643,
       -1.36883255])]"
34999,movel,"[array([1544.23940812,  716.21797082, 1667.74833203])]","[array([ 0.71884997, -0.01923239,  0.71153884, -2.28146266,  1.54080567,
       -1.34670018])]"
36665,movel,"[array([1556.37266065,  693.85515303, 1658.83504514])]","[array([ 0.70985262, -0.00350529,  0.70347986, -2.26181079,  1.55760626,
       -1.32276593])]"
38332,movel,"[array([1567.7749384 ,  668.86828635, 1649.07703614])]","[array([ 0.70064369,  0.0121311 ,  0.69520079, -2.23882936,  1.57506041,
       -1.29789529])]"
39999,movel,"[array([1578.50244804,  641.21543522, 1635.64075653])]","[array([ 0.69146925,  0.02762313,  0.68799091, -2.21114102,  1.59169742,
       -1.27253742])]"
41665,movel,"[array([1588.70568558,  611.89472455, 1616.75150044])]","[array([ 0.6829155 ,  0.04345094,  0.68199048, -2.17765584,  1.60634806,
       -1.24754079])]"
43332,movel,"[array([1599.17590717,  582.78272828, 1592.3758843 ])]","[array([ 0.67467142,  0.0600942 ,  0.67710935, -2.14120886,  1.61758864,
       -1.22387202])]"
44999,movel,"[array([1610.52237408,  554.36357648, 1562.49744704])]","[array([ 0.66645687,  0.07791968,  0.67301933, -2.10276762,  1.62458253,
       -1.20182876])]"
46665,movel,"[array([1623.14683453,  527.68880129, 1527.74752073])]","[array([ 0.65840685,  0.09716654,  0.66897596, -2.06326546,  1.62662459,
       -1.18220005])]"
48332,movel,"[array([1637.79666204,  503.56437577, 1489.34863172])]","[array([ 0.65009518,  0.1182045 ,  0.66428067, -2.02516414,  1.623543  ,
       -1.16492869])]"
49999,movel,"[array([1714.48944853,  442.94150836, 1328.1363582 ])]","[array([ 0.61918847,  0.22440143,  0.62062604, -1.89816381,  1.58442761,
       -1.11535209])]"
