breakpoints,primitives,p_bp,q_bp
0,moveabsj,"[array([ 79.85101549, 480.25207916, 483.86541943])]","[array([-0.1955029 , -0.12730878, -2.05111488, -2.86958727,  1.05235024,
       -1.08486733])]"
1665,movel,"[array([ 83.62655775, 519.71714997, 586.97585648])]","[array([-0.06608672, -0.32606702, -1.97409555, -2.96732685,  1.19528025,
       -1.09687608])]"
3332,movel,"[array([ 83.06595819, 525.80998045, 601.11112123])]","[array([-0.05224952, -0.33780302, -1.98788679, -2.96647656,  1.21073644,
       -1.10168533])]"
4999,movel,"[array([ 81.03626212, 533.61389394, 616.45907259])]","[array([-0.03880721, -0.34879755, -1.9992515 , -2.96684009,  1.22603462,
       -1.10900248])]"
6665,movel,"[array([ 76.90411221, 542.09663415, 631.57926371])]","[array([-0.02472041, -0.35846436, -2.00968052, -2.96744923,  1.24001886,
       -1.11750507])]"
8332,movel,"[array([ 70.34265452, 550.29118251, 644.92344549])]","[array([-0.00981553, -0.36696909, -2.01811157, -2.96825803,  1.25150982,
       -1.12608453])]"
9999,movel,"[array([ 61.4099608 , 557.50308439, 655.60343957])]","[array([ 0.00632907, -0.37438334, -2.02458384, -2.96842565,  1.26045094,
       -1.13369865])]"
11665,movel,"[array([ 50.47184712, 563.58964012, 663.75769051])]","[array([ 0.02414093, -0.38051766, -2.03039816, -2.96669074,  1.26787095,
       -1.13983311])]"
13332,movel,"[array([ 37.80931661, 568.59112524, 669.74324868])]","[array([ 0.04367665, -0.38564373, -2.03575643, -2.96239981,  1.27482894,
       -1.14433457])]"
14999,movel,"[array([ 23.73475221, 572.43491121, 673.64035007])]","[array([ 0.06474221, -0.38984646, -2.04058719, -2.95545289,  1.28163396,
       -1.14711776])]"
16665,movel,"[array([  8.53352518, 575.06058604, 675.39847347])]","[array([ 0.08704573, -0.39305102, -2.04499924, -2.94576683,  1.28823788,
       -1.14820414])]"
18332,movel,"[array([ -7.57478923, 576.32975507, 674.9293572 ])]","[array([ 0.11046029, -0.39525133, -2.04881284, -2.93332162,  1.29461682,
       -1.14750001])]"
19999,movel,"[array([-24.3474931 , 576.02410539, 671.99895078])]","[array([ 0.13483868, -0.39632561, -2.05181784, -2.91811491,  1.3005209 ,
       -1.14485684])]"
21665,movel,"[array([-41.61990951, 573.9532438 , 666.41094217])]","[array([ 0.16008196, -0.39619035, -2.05380028, -2.89995258,  1.30581394,
       -1.14015943])]"
23332,movel,"[array([-59.31390904, 569.96139595, 658.15600149])]","[array([ 0.18634591, -0.39466636, -2.05481266, -2.87837467,  1.3106812 ,
       -1.13327798])]"
24999,movel,"[array([-77.32337925, 563.80877148, 647.12902588])]","[array([ 0.21379144, -0.39134839, -2.05505894, -2.85286643,  1.31510086,
       -1.12406185])]"
26665,movel,"[array([-95.58758716, 554.96464294, 632.81690743])]","[array([ 0.24244096, -0.38595806, -2.05397505, -2.82310402,  1.31849511,
       -1.1122465 ])]"
28332,movel,"[array([-114.09391985,  542.60713534,  614.56735248])]","[array([ 0.27237693, -0.37824292, -2.050544  , -2.78887552,  1.32000772,
       -1.09745634])]"
29999,movel,"[array([-132.78033928,  525.92602626,  592.11489675])]","[array([ 0.3037312 , -0.36758056, -2.0446057 , -2.74978066,  1.31889025,
       -1.07954952])]"
31665,movel,"[array([-151.62062172,  503.98111803,  565.64970771])]","[array([ 0.33683025, -0.35363873, -2.03580859, -2.70556228,  1.31471713,
       -1.05838808])]"
33332,movel,"[array([-170.55239948,  475.73102668,  535.61818816])]","[array([ 0.37179964, -0.336244  , -2.02382517, -2.65646631,  1.30663993,
       -1.0341889 ])]"
34999,movel,"[array([-189.26267631,  440.49421845,  503.30215218])]","[array([ 0.40852688, -0.31580714, -2.00850206, -2.60352235,  1.29415958,
       -1.00758231])]"
36665,movel,"[array([-206.84050464,  398.53054285,  470.95491035])]","[array([ 0.44695116, -0.29331897, -1.99067089, -2.54796519,  1.2779998 ,
       -0.97930031])]"
38332,movel,"[array([-221.62027591,  351.20827883,  440.99823002])]","[array([ 0.48707615, -0.27022295, -1.97197514, -2.49073662,  1.25989126,
       -0.94978977])]"
39999,movel,"[array([-231.13752168,  300.97803733,  415.31762894])]","[array([ 0.52898916, -0.24804984, -1.95455635, -2.43239754,  1.24212268,
       -0.91881601])]"
41665,movel,"[array([-233.20132714,  250.79381122,  394.64684539])]","[array([ 0.57268366, -0.22826379, -1.94013518, -2.37361038,  1.22621305,
       -0.88602915])]"
43332,movel,"[array([-227.61964795,  203.3714956 ,  378.62638551])]","[array([ 0.61716918, -0.21203474, -1.92899866, -2.31574767,  1.2119852 ,
       -0.85245311])]"
44999,movel,"[array([-214.50941037,  160.78934203,  366.66775744])]","[array([ 0.66202731, -0.20009053, -1.92145908, -2.25930807,  1.19942238,
       -0.81824338])]"
46665,movel,"[array([-194.76564318,  124.64696482,  358.2008305 ])]","[array([ 0.70676231, -0.19318615, -1.917526  , -2.20456808,  1.18839858,
       -0.78370591])]"
48332,movel,"[array([-170.85504677,   95.21956544,  352.56398005])]","[array([ 0.75030335, -0.19142105, -1.91596159, -2.15223713,  1.17806559,
       -0.75026318])]"
49999,movel,"[array([-72.33459465,  -3.87376769, 342.39067484])]","[array([ 0.92528592, -0.24249381, -1.86287948, -1.9804489 ,  1.11611682,
       -0.63669213])]"
