breakpoints,primitives,p_bp,q_bp
0,moveabsj,"[array([ 82.74823699, 485.56097572, 483.25039095])]","[array([-0.21212948, -0.12074036, -2.06102996, -2.85020348,  1.05178069,
       -1.09646328])]"
1665,movel,"[array([ 83.54739607, 519.67821042, 586.94003281])]","[array([-0.06599401, -0.32621525, -1.97399115, -2.96741697,  1.19522637,
       -1.09681884])]"
3332,movel,"[array([ 82.75256177, 525.90656458, 601.01450054])]","[array([-0.05241349, -0.33860163, -1.98702314, -2.96631975,  1.21082006,
       -1.10179143])]"
4999,movel,"[array([ 80.78867668, 533.65488043, 616.34975937])]","[array([-0.03886996, -0.34933498, -1.99879195, -2.96677493,  1.22596558,
       -1.10906292])]"
6665,movel,"[array([ 76.74611088, 542.11934751, 631.57097238])]","[array([-0.02475732, -0.35898403, -2.00895222, -2.96742692,  1.24022892,
       -1.11749435])]"
8332,movel,"[array([ 70.17547418, 550.30794787, 644.94152591])]","[array([-0.00984474, -0.36758999, -2.01716002, -2.96824991,  1.25183918,
       -1.1260465 ])]"
9999,movel,"[array([ 61.25713232, 557.51167275, 655.60321076])]","[array([ 0.00631086, -0.37490535, -2.02382515, -2.96842217,  1.26068639,
       -1.1336697 ])]"
11665,movel,"[array([ 50.29188287, 563.57293672, 663.75947104])]","[array([ 0.02416422, -0.38113874, -2.02948796, -2.96672733,  1.26815264,
       -1.13976251])]"
13332,movel,"[array([ 37.63985579, 568.56169385, 669.75218789])]","[array([ 0.04371775, -0.3862486 , -2.03484897, -2.96245262,  1.27512118,
       -1.14424642])]"
14999,movel,"[array([ 23.60388974, 572.42144741, 673.63290285])]","[array([ 0.06475142, -0.39027682, -2.03997836, -2.95547076,  1.28180805,
       -1.14707615])]"
16665,movel,"[array([  8.39868633, 575.03218883, 675.3892984 ])]","[array([ 0.08707625, -0.39349506, -2.04437448, -2.94580341,  1.28841061,
       -1.14814376])]"
18332,movel,"[array([ -7.69071749, 576.30834804, 674.92222903])]","[array([ 0.11047588, -0.39563431, -2.04827161, -2.93334421,  1.29476918,
       -1.14745385])]"
19999,movel,"[array([-24.45566697, 575.98991671, 671.9821409 ])]","[array([ 0.13487405, -0.39666585, -2.05136506, -2.91815177,  1.30062462,
       -1.14480344])]"
21665,movel,"[array([-41.71243815, 573.91190637, 666.39250313])]","[array([ 0.16012959, -0.39647943, -2.05342687, -2.8999981 ,  1.30588705,
       -1.14010162])]"
23332,movel,"[array([-59.3836103 , 569.91135782, 658.13634398])]","[array([ 0.18641227, -0.39488383, -2.05454756, -2.87843345,  1.31071389,
       -1.13321411])]"
24999,movel,"[array([-77.38144906, 563.76417065, 647.10123154])]","[array([ 0.2138489 , -0.3915072 , -2.05490188, -2.85291416,  1.31508662,
       -1.12401865])]"
26665,movel,"[array([-95.60230586, 554.93282058, 632.78317003])]","[array([ 0.2424916 , -0.38595272, -2.05407361, -2.82313865,  1.31839447,
       -1.1122387 ])]"
28332,movel,"[array([-114.08543915,  542.57256401,  614.53277067])]","[array([ 0.27244355, -0.37816397, -2.05075217, -2.78891976,  1.31986904,
       -1.0974536 ])]"
29999,movel,"[array([-132.75743971,  525.89132148,  592.07561725])]","[array([ 0.30380729, -0.36744516, -2.04490876, -2.74982838,  1.31871363,
       -1.07956148])]"
31665,movel,"[array([-151.57073617,  503.96055326,  565.59973446])]","[array([ 0.3369002 , -0.35337551, -2.03632539, -2.70559415,  1.3144657 ,
       -1.05845092])]"
33332,movel,"[array([-170.46640497,  475.71128954,  535.57037192])]","[array([ 0.3718994 , -0.3358714 , -2.02449185, -2.65651641,  1.30634674,
       -1.03426606])]"
34999,movel,"[array([-189.15600422,  440.47128437,  503.25527069])]","[array([ 0.40865949, -0.31537707, -2.00924659, -2.6035954 ,  1.29384304,
       -1.00766882])]"
36665,movel,"[array([-206.73104394,  398.5088475 ,  470.90144263])]","[array([ 0.44709773, -0.29285757, -1.99147856, -2.54804158,  1.27765912,
       -0.97941957])]"
38332,movel,"[array([-221.54142849,  351.18085078,  440.94877232])]","[array([ 0.48721736, -0.26986995, -1.97262049, -2.4908127 ,  1.25960545,
       -0.94990239])]"
39999,movel,"[array([-231.08175093,  300.95303134,  415.27835327])]","[array([ 0.5291104 , -0.24779231, -1.95503895, -2.4324639 ,  1.24190524,
       -0.91891344])]"
41665,movel,"[array([-233.1255606 ,  250.78783792,  394.62543839])]","[array([ 0.57280187, -0.2279886 , -1.94058121, -2.37368267,  1.22604395,
       -0.8861044 ])]"
43332,movel,"[array([-227.54742098,  203.38449771,  378.61977528])]","[array([ 0.61725281, -0.21179876, -1.92933809, -2.31580102,  1.21188188,
       -0.85250164])]"
44999,movel,"[array([-214.42254117,  160.81823675,  366.68686093])]","[array([ 0.66211215, -0.19990074, -1.92164073, -2.25939381,  1.19939326,
       -0.81820636])]"
46665,movel,"[array([-194.75140459,  124.69075428,  358.25491893])]","[array([ 0.70669433, -0.19329321, -1.91718259, -2.20457802,  1.1885667 ,
       -0.78352295])]"
48332,movel,"[array([-170.90467691,   95.25838175,  352.64451006])]","[array([ 0.75012649, -0.19179448, -1.91516655, -2.15221045,  1.17837267,
       -0.74993556])]"
49999,movel,"[array([-71.19364792,  -7.11902621, 344.54985741])]","[array([ 0.93291437, -0.26029973, -1.8293197 , -1.99481611,  1.11898874,
       -0.61894255])]"
