breakpoints,primitives,points,q_bp
0,movej_fit,"[array([1022.36735197, -841.09811283,  972.82895956])]","[array([-0.84899467, -0.23970751,  0.58135615,  0.37814708,  1.20903987,
       -2.87619581])]"
166,movel_fit,"[array([1020.96114595, -835.73498167,  972.92318965])]","[array([-0.84774761, -0.24245544,  0.58339455,  0.37884875,  1.21267587,
       -2.8767172 ])]"
333,movel_fit,"[array([1020.06643036, -830.48751403,  972.82092307])]","[array([-0.84625082, -0.24471228,  0.58522635,  0.37961654,  1.21600386,
       -2.87712075])]"
500,movel_fit,"[array([1019.62795148, -825.40560676,  972.56119019])]","[array([-0.84455949, -0.24651716,  0.5868529 ,  0.3804436 ,  1.21902459,
       -2.87742953])]"
666,movel_fit,"[array([1019.51812289, -820.47366992,  972.1982266 ])]","[array([-0.8427371 , -0.24798558,  0.58831643,  0.38130802,  1.2218099 ,
       -2.87766395])]"
833,movel_fit,"[array([1019.6372281 , -815.59569166,  971.76862547])]","[array([-0.84080148, -0.24923275,  0.58967415,  0.38220796,  1.2244623 ,
       -2.8778445 ])]"
1000,movel_fit,"[array([1019.91055504, -810.77206223,  971.30700515])]","[array([-0.8387938 , -0.2503263 ,  0.59094799,  0.3831295 ,  1.22701844,
       -2.87798435])]"
1166,movel_fit,"[array([1020.27768963, -806.00794474,  970.84192467])]","[array([-0.8367496 , -0.25132079,  0.5921549 ,  0.38406101,  1.22950493,
       -2.87809528])]"
1333,movel_fit,"[array([1020.69997109, -801.22779165,  970.3877474 ])]","[array([-0.83466139, -0.25227432,  0.59332767,  0.38500998,  1.23198281,
       -2.87818893])]"
1500,movel_fit,"[array([1021.14401561, -796.44656562,  969.9625755 ])]","[array([-0.83255383, -0.25321544,  0.59447253,  0.38596885,  1.2344598 ,
       -2.87827311])]"
1666,movel_fit,"[array([1021.58536068, -791.68291074,  969.57987598])]","[array([-0.83044835, -0.25416356,  0.59559255,  0.3869311 ,  1.23693688,
       -2.87835431])]"
1833,movel_fit,"[array([1022.01512814, -786.87240501,  969.2429864 ])]","[array([-0.82832526, -0.25514744,  0.59670791,  0.38790853,  1.23945433,
       -2.87843902])]"
2000,movel_fit,"[array([1022.42226591, -782.03909274,  968.9596084 ])]","[array([-0.82620063, -0.25617261,  0.59781605,  0.38889624,  1.24200347,
       -2.87853107])]"
2166,movel_fit,"[array([1022.80068847, -777.2094845 ,  968.73398398])]","[array([-0.82408884, -0.25723874,  0.59891277,  0.38988943,  1.24457159,
       -2.87863298])]"
2333,movel_fit,"[array([1023.15436062, -772.32423706,  968.56469459])]","[array([-0.82196477, -0.25836112,  0.60001218,  0.39090146,  1.24718998,
       -2.87874823])]"
2500,movel_fit,"[array([1023.48264011, -767.41233392,  968.45322308])]","[array([-0.81984059, -0.25953313,  0.60110758,  0.39192783,  1.24984188,
       -2.87887767])]"
2666,movel_fit,"[array([1023.78700699, -762.50420478,  968.39866512])]","[array([-0.81772785, -0.26074493,  0.60219163,  0.39296364,  1.2525085 ,
       -2.87902119])]"
2833,movel_fit,"[array([1024.07527813, -757.54206023,  968.39857575])]","[array([-0.81559954, -0.26200741,  0.60327613,  0.39402261,  1.25521857,
       -2.87918077])]"
3000,movel_fit,"[array([1024.35017369, -752.55710281,  968.45116113])]","[array([-0.81346668, -0.26330881,  0.60435299,  0.39509965,  1.25795227,
       -2.87935547])]"
3166,movel_fit,"[array([1024.61483383, -747.58127987,  968.5530672 ])]","[array([-0.81134031, -0.26463603,  0.60541424,  0.39618904,  1.26068909,
       -2.87954369])]"
3333,movel_fit,"[array([1024.87700418, -742.55662641,  968.70278616])]","[array([-0.8091931 , -0.26599993,  0.60647105,  0.39730463,  1.26345803,
       -2.87974708])]"
3500,movel_fit,"[array([1025.13935652, -737.5150434 ,  968.89706337])]","[array([-0.80703624, -0.26738754,  0.60751545,  0.39844048,  1.26623883,
       -2.87996381])]"
3666,movel_fit,"[array([1025.40418372, -732.48876791,  969.13162377])]","[array([-0.80488128, -0.26878556,  0.60853994,  0.39959003,  1.26901117,
       -2.88019168])]"
3833,movel_fit,"[array([1025.67815305, -727.41904101,  969.40666909])]","[array([-0.80270099, -0.27020635,  0.60955561,  0.40076743,  1.27180511,
       -2.88043264])]"
4000,movel_fit,"[array([1025.96276829, -722.33777391,  969.71841397])]","[array([-0.80050716, -0.27163739,  0.61055517,  0.40196604,  1.2746009 ,
       -2.8806846 ])]"
4166,movel_fit,"[array([1026.25890114, -717.27701431,  970.06235721])]","[array([-0.79831211, -0.27306631,  0.61153187,  0.40317864,  1.27737898,
       -2.88094526])]"
4333,movel_fit,"[array([1026.57247155, -712.17717617,  970.44049398])]","[array([-0.79608856, -0.27450696,  0.61249672,  0.40441997,  1.28017025,
       -2.88121715])]"
4500,movel_fit,"[array([1026.90381893, -707.06997942,  970.84886244])]","[array([-0.79384897, -0.27594771,  0.61344314,  0.40568288,  1.28295558,
       -2.88149819])]"
4666,movel_fit,"[array([1027.25263256, -701.98720215,  971.28293508])]","[array([-0.79160629, -0.2773772 ,  0.6143651 ,  0.40695974,  1.28571616,
       -2.8817862 ])]"
4833,movel_fit,"[array([1027.62478471, -696.86863981,  971.74626331])]","[array([-0.78933296, -0.27881017,  0.61527325,  0.40826604,  1.28848315,
       -2.8820843 ])]"
5000,movel_fit,"[array([1028.01978459, -691.74584594,  972.23475484])]","[array([-0.78704199, -0.28023571,  0.61616162,  0.4095943 ,  1.29123791,
       -2.8823905 ])]"
5166,movel_fit,"[array([1028.4365062 , -686.65040558,  972.74382094])]","[array([-0.78474681, -0.28164326,  0.61702474,  0.41093654,  1.29396216,
       -2.88270271])]"
5333,movel_fit,"[array([1028.88136205, -681.5217498 ,  973.27823444])]","[array([-0.78241939, -0.28304777,  0.6178727 ,  0.41230911,  1.29668687,
       -2.88302454])]"
5500,movel_fit,"[array([1029.35327173, -676.39134902,  973.83369803])]","[array([-0.78007313, -0.28443883,  0.61869998,  0.4137042 ,  1.29939374,
       -2.88335402])]"
5666,movel_fit,"[array([1029.85047381, -671.29068501,  974.4054596 ])]","[array([-0.7777219 , -0.2858064 ,  0.61950157,  0.41511346,  1.30206494,
       -2.88368904])]"
5833,movel_fit,"[array([1030.38023826, -666.15903149,  974.99919607])]","[array([-0.77533705, -0.28716518,  0.62028688,  0.41655405,  1.30473089,
       -2.88403353])]"
6000,movel_fit,"[array([1030.94089821, -661.02782815,  975.61032266])]","[array([-0.77293237, -0.28850513,  0.62105081,  0.41801773,  1.30737369,
       -2.88438542])]"
6166,movel_fit,"[array([1031.52998897, -655.92849136,  976.23384654])]","[array([-0.77052216, -0.28981669,  0.62178877,  0.41949565,  1.30997603,
       -2.88474241])]"
6333,movel_fit,"[array([1032.15570488, -650.80027072,  976.8760946 ])]","[array([-0.76807713, -0.29111399,  0.62250948,  0.42100571,  1.31256762,
       -2.88510864])]"
6500,movel_fit,"[array([1032.81559286, -645.67456791,  977.53215952])]","[array([-0.7656115 , -0.29238744,  0.62320828,  0.42253905,  1.31513112,
       -2.88548179])]"
6666,movel_fit,"[array([1033.50625439, -640.58271004,  978.19679256])]","[array([-0.76314004, -0.29362807,  0.6238811 ,  0.42408622,  1.31764993,
       -2.8858593 ])]"
6833,movel_fit,"[array([1034.23672028, -635.4639921 ,  978.87678505])]","[array([-0.76063282, -0.29484935,  0.62453597,  0.42566566,  1.32015301,
       -2.88624538])]"
7000,movel_fit,"[array([1035.00346849, -630.34972144,  979.56693465])]","[array([-0.75810459, -0.29604233,  0.62516879,  0.42726782,  1.32262381,
       -2.88663739])]"
7166,movel_fit,"[array([1035.80190895, -625.27107187,  980.26178543])]","[array([-0.75557064, -0.29719885,  0.62577605,  0.42888248,  1.32504667,
       -2.88703247])]"
7333,movel_fit,"[array([1036.64176905, -620.1674154 ,  980.96846188])]","[array([-0.75300046, -0.29833168,  0.62636522,  0.43052855,  1.32744979,
       -2.88743484])]"
7500,movel_fit,"[array([1037.51822041, -615.06988816,  981.68154682])]","[array([-0.75040936, -0.29943276,  0.62693279,  0.43219569,  1.32981763,
       -2.88784154])]"
7666,movel_fit,"[array([1038.42531511, -610.00943866,  982.39547158])]","[array([-0.74781319, -0.30049495,  0.62747591,  0.43387291,  1.33213566,
       -2.88824944])]"
7833,movel_fit,"[array([1039.37335665, -604.92553511,  983.11759633])]","[array([-0.74518092, -0.30153037,  0.62800151,  0.43557948,  1.3344313 ,
       -2.88866274])]"
8000,movel_fit,"[array([1040.3561068 , -599.84907444,  983.84240021])]","[array([-0.7425284 , -0.30253202,  0.62850678,  0.43730428,  1.33669015,
       -2.8890782 ])]"
8166,movel_fit,"[array([1041.36625116, -594.81072681,  984.56431736])]","[array([-0.73987207, -0.30349392,  0.62898947,  0.43903564,  1.33889888,
       -2.88949253])]"
8333,movel_fit,"[array([1042.41459539, -589.75008044,  985.29086147])]","[array([-0.73718036, -0.30442753,  0.62945609,  0.44079312,  1.3410841 ,
       -2.88990985])]"
8500,movel_fit,"[array([1043.49355457, -584.69775352,  986.01652729])]","[array([-0.73446968, -0.30532704,  0.62990445,  0.44256494,  1.34323261,
       -2.8903268 ])]"
8666,movel_fit,"[array([1044.59460274, -579.68411753,  986.73586566])]","[array([-0.73175699, -0.30618764,  0.63033289,  0.44433888,  1.34533219,
       -2.89074   ])]"
8833,movel_fit,"[array([1045.72901302, -574.64891528,  987.45646483])]","[array([-0.72901018, -0.30702012,  0.6307475 ,  0.44613475,  1.34740862,
       -2.89115353])]"
9000,movel_fit,"[array([1046.88806428, -569.62248093,  988.17294423])]","[array([-0.72624617, -0.30781984,  0.63114666,  0.44794028,  1.34944978,
       -2.89156399])]"
9166,movel_fit,"[array([1048.06230098, -564.63490026,  988.88006851])]","[array([-0.72348235, -0.30858306,  0.63152917,  0.44974291,  1.35144448,
       -2.89196805])]"
9333,movel_fit,"[array([1049.26344049, -559.62611353,  989.58541877])]","[array([-0.72068611, -0.3093199 ,  0.63190075,  0.45156266,  1.35341759,
       -2.89236972])]"
9500,movel_fit,"[array([1050.48193392, -554.6261945 ,  990.28382738])]","[array([-0.71787478, -0.31002673,  0.63226021,  0.45338697,  1.35535791,
       -2.89276569])]"
9666,movel_fit,"[array([1051.70774534, -549.66497988,  990.97034492])]","[array([-0.71506606, -0.31070075,  0.63260669,  0.45520316,  1.3572551 ,
       -2.89315282])]"
9833,movel_fit,"[array([1052.95299524, -544.68265229,  991.65246122])]","[array([-0.71222688, -0.31135137,  0.63294558,  0.45703139,  1.35913305,
       -2.89353497])]"
10000,movel_fit,"[array([1054.20765332, -539.70906592,  992.32528453])]","[array([-0.70937487, -0.31197581,  0.63327597,  0.45885903,  1.36098132,
       -2.89390906])]"
10166,movel_fit,"[array([1055.46145971, -534.77385583,  992.98419751])]","[array([-0.70652799, -0.31257199,  0.63359719,  0.46067346,  1.36279022,
       -2.89427219])]"
10333,movel_fit,"[array([1056.72685673, -529.81748719,  993.63651465])]","[array([-0.70365269, -0.31314858,  0.63391433,  0.46249492,  1.36458265,
       -2.8946281 ])]"
10500,movel_fit,"[array([1057.99366413, -524.86964018,  994.27765895])]","[array([-0.70076685, -0.31370347,  0.63422667,  0.46431088,  1.36634874,
       -2.89497393])]"
10666,movel_fit,"[array([1059.25171498, -519.95979418,  994.90336852])]","[array([-0.69788857, -0.31423508,  0.63453355,  0.46610898,  1.36807924,
       -2.89530716])]"
10833,movel_fit,"[array([1060.51364268, -515.02872862,  995.52070211])]","[array([-0.69498392, -0.3147514 ,  0.63483988,  0.46790941,  1.36979609,
       -2.89563129])]"
11000,movel_fit,"[array([1061.76939712, -510.10599002,  996.1254164 ])]","[array([-0.69207091, -0.31525076,  0.63514494,  0.46969988,  1.37148984,
       -2.89594379])]"
11166,movel_fit,"[array([1063.00915413, -505.22093854,  996.71361068])]","[array([-0.68916775, -0.31573191,  0.63544803,  0.47146841,  1.37315157,
       -2.89624249])]"
11333,movel_fit,"[array([1064.24556126, -500.31469059,  997.29201488])]","[array([-0.68624015, -0.31620221,  0.63575392,  0.47323502,  1.37480227,
       -2.89653062])]"
11500,movel_fit,"[array([1065.46891044, -495.41668873,  997.85672353])]","[array([-0.68330623, -0.31666029,  0.63606182,  0.47498779,  1.3764328 ,
       -2.89680601])]"
11666,movel_fit,"[array([1066.66989588, -490.55619733,  998.40419122])]","[array([-0.68038425, -0.31710504,  0.63637091,  0.47671517,  1.37803447,
       -2.89706685])]"
11833,movel_fit,"[array([1067.8609682 , -485.6746857 ,  998.94075543])]","[array([-0.67743964, -0.31754333,  0.63668589,  0.47843689,  1.37962742,
       -2.89731603])]"
12000,movel_fit,"[array([1069.03290583, -480.80150999,  999.46284353])]","[array([-0.67449057, -0.31797395,  0.63700588,  0.48014142,  1.38120274,
       -2.89755174])]"
12166,movel_fit,"[array([1070.17703133, -475.9658492 ,  999.9672533 ])]","[array([-0.67155534, -0.31839581,  0.63732982,  0.48181773,  1.38275191,
       -2.89777252])]"
12333,movel_fit,"[array([1071.30537052, -471.10953886, 1000.45987685])]","[array([-0.66859915, -0.31881542,  0.63766249,  0.48348509,  1.3842943 ,
       -2.89798089])]"
12500,movel_fit,"[array([1072.40927854, -466.26185527, 1000.93746484])]","[array([-0.66564023, -0.31923161,  0.63800284,  0.48513243,  1.3858212 ,
       -2.89817535])]"
12666,movel_fit,"[array([1073.48076884, -461.45189197, 1001.39714444])]","[array([-0.66269686, -0.31964326,  0.63834956,  0.48674924,  1.38732424,
       -2.8983548 ])]"
12833,movel_fit,"[array([1074.53121541, -456.62186518, 1001.84432017])]","[array([-0.65973412, -0.32005666,  0.63870762,  0.48835418,  1.38882212,
       -2.89852133])]"
