breakpoints,primitives,points,q_bp
0,movej_fit,"[array([1064.84682732, -997.22671686,  955.19462002])]","[array([-0.12503377,  1.17161217, -2.56748543,  0.27230773, -1.84151001,
       -1.42095025])]"
1000,movej_fit,"[array([1080.97147323, -981.49914417,  921.82494885])]","[array([-0.11504151,  1.17580008, -2.56753971,  0.27427639, -1.84080606,
       -1.44847972])]"
2000,movej_fit,"[array([1117.30692235, -951.79128952,  872.41575349])]","[array([-0.09839712,  1.18808354, -2.56072268,  0.28571177, -1.8401278 ,
       -1.47554384])]"
3000,movej_fit,"[array([1151.56358548, -919.25966279,  819.85832851])]","[array([-0.08152765,  1.20072765, -2.55377558,  0.29723707, -1.83921268,
       -1.50473594])]"
4000,movej_fit,"[array([1182.83903832, -884.08606675,  766.42615644])]","[array([-0.06460628,  1.21298788, -2.54730623,  0.30881262, -1.83881321,
       -1.53568355])]"
5000,movej_fit,"[array([1213.01933667, -844.59570348,  712.24181438])]","[array([-0.04681569,  1.22530302, -2.54087728,  0.32163542, -1.8393601 ,
       -1.5674897 ])]"
6000,movej_fit,"[array([1242.87210629, -799.72554595,  658.04668871])]","[array([-0.02765178,  1.2377395 , -2.53438814,  0.33638008, -1.84119817,
       -1.59934289])]"
7000,movej_fit,"[array([1272.51960828, -748.96448812,  605.19407422])]","[array([-0.00685756,  1.25006192, -2.52801676,  0.35335362, -1.84470428,
       -1.63047477])]"
8000,movej_fit,"[array([1301.91361851, -692.0453956 ,  554.91764997])]","[array([ 0.01576034,  1.26203062, -2.52193851,  0.37268403, -1.85006908,
       -1.66016544])]"
9000,movej_fit,"[array([1330.7495162 , -628.90502823,  507.87713237])]","[array([ 0.0403637 ,  1.27351261, -2.51620413,  0.39430802, -1.85709378,
       -1.68787294])]"
10000,movej_fit,"[array([1358.34444095, -559.73594121,  464.1892895 ])]","[array([ 0.06704758,  1.28443954, -2.51077305,  0.41796526, -1.86523194,
       -1.71332465])]"
11000,movej_fit,"[array([1383.74134463, -484.97828068,  423.72684494])]","[array([ 0.09582152,  1.2947335 , -2.50559849,  0.44327652, -1.87380715,
       -1.73648813])]"
12000,movej_fit,"[array([1405.9303742 , -405.25565187,  386.39870543])]","[array([ 0.12661915,  1.30426769, -2.50068666,  0.46984331, -1.88221962,
       -1.75747183])]"
13000,movej_fit,"[array([1424.0223274 , -321.29809807,  352.25640518])]","[array([ 0.15932283,  1.31287311, -2.49610426,  0.49731084, -1.89003333,
       -1.77643838])]"
14000,movej_fit,"[array([1437.31490648, -233.87080347,  321.44272628])]","[array([ 0.1937927 ,  1.32037159, -2.4919494 ,  0.52539095, -1.89695687,
       -1.79356513])]"
15000,movej_fit,"[array([1445.28125302, -143.71818941,  294.09754573])]","[array([ 0.22989172,  1.32660634, -2.48831887,  0.55386464, -1.90278965,
       -1.80903582])]"
16000,movej_fit,"[array([1447.53594508,  -51.53745134,  270.32069782])]","[array([ 0.26749725,  1.33145059, -2.48529553,  0.5825763 , -1.90738921,
       -1.82303441])]"
17000,movej_fit,"[array([1443.81524533,   42.01391207,  250.20686203])]","[array([ 0.30649575,  1.33479581, -2.48295717,  0.61142169, -1.91066985,
       -1.83572981])]"
18000,movej_fit,"[array([1433.97455101,  136.29438236,  233.89655647])]","[array([ 0.34676843,  1.33653578, -2.48139024,  0.64033188, -1.91260983,
       -1.84726008])]"
19000,movej_fit,"[array([1417.98189759,  230.66686044,  221.58120137])]","[array([ 0.38818372,  1.33656318, -2.4806913 ,  0.66925992, -1.91324077,
       -1.85772807])]"
20000,movej_fit,"[array([1395.88869602,  324.51127773,  213.45073991])]","[array([ 0.43060655,  1.33478108, -2.48095225,  0.69817643, -1.91261268,
       -1.86720901])]"
21000,movej_fit,"[array([1367.78563815,  417.24433141,  209.62993694])]","[array([ 0.47391774,  1.33111736, -2.48224164,  0.72707235, -1.91075209,
       -1.87575789])]"
22000,movej_fit,"[array([1333.77878266,  508.31709106,  210.16549435])]","[array([ 0.51802355,  1.32552645, -2.48459967,  0.75595965, -1.9076418 ,
       -1.88340407])]"
23000,movej_fit,"[array([1294.02032659,  597.17897847,  215.09049181])]","[array([ 0.56283685,  1.3179724 , -2.48805575,  0.78486008, -1.9032404 ,
       -1.8901318 ])]"
24000,movej_fit,"[array([1248.79371263,  683.22919854,  224.53425695])]","[array([ 0.60823054,  1.30840285, -2.49266113,  0.81378105, -1.89753522,
       -1.89585975])]"
25000,movej_fit,"[array([1198.6046329 ,  765.79624716,  238.8053421 ])]","[array([ 0.65398778,  1.29673249, -2.49851633,  0.8426892 , -1.89059697,
       -1.9004371 ])]"
26000,movej_fit,"[array([1144.20696707,  844.17246316,  258.38433408])]","[array([ 0.69978489,  1.28285062, -2.50577362,  0.8714991 , -1.88259615,
       -1.90366357])]"
27000,movej_fit,"[array([1086.52745669,  917.68845496,  283.82501571])]","[array([ 0.74522574,  1.2666498 , -2.51461113,  0.90008765, -1.8737627 ,
       -1.90532189])]"
28000,movej_fit,"[array([1026.52986704,  985.77679844,  315.63348411])]","[array([ 0.78990706,  1.24805662, -2.52519704,  0.92832598, -1.86431328,
       -1.90520043])]"
29000,movej_fit,"[array([ 965.1119771 , 1047.9784859 ,  354.20979057])]","[array([ 0.8334644 ,  1.22704497, -2.53767046,  0.95610387, -1.8544004 ,
       -1.90309574])]"
30000,movej_fit,"[array([ 903.10535689, 1103.8814774 ,  399.87398876])]","[array([ 0.87555749,  1.20363143, -2.55214976,  0.9833206 , -1.84412555,
       -1.8988096 ])]"
31000,movej_fit,"[array([ 841.36560935, 1153.01978039,  452.90644435])]","[array([ 0.91580131,  1.17787222, -2.56875161,  1.00983694, -1.83360626,
       -1.89216928])]"
32000,movej_fit,"[array([ 780.86043919, 1194.79143183,  513.49239026])]","[array([ 0.95370351,  1.14988226, -2.58758679,  1.03541859, -1.82303366,
       -1.88308314])]"
33000,movej_fit,"[array([ 722.65029054, 1228.46216613,  581.53176909])]","[array([ 0.98868223,  1.11987231, -2.60871382,  1.0597263 , -1.81265112,
       -1.87160434])]"
34000,movej_fit,"[array([ 667.74300012, 1253.28165581,  656.41681107])]","[array([ 1.02017597,  1.08817346, -2.63207208,  1.082384  , -1.80265343,
       -1.85795251])]"
35000,movej_fit,"[array([ 616.92003144, 1268.66402667,  736.93910394])]","[array([ 1.04777014,  1.05522373, -2.65744001,  1.10308863, -1.79308706,
       -1.84247322])]"
36000,movej_fit,"[array([ 570.64441696, 1274.34868267,  821.38787357])]","[array([ 1.07125811,  1.0215235 , -2.68444274,  1.12169076, -1.78382898,
       -1.82556532])]"
37000,movej_fit,"[array([ 529.05056125, 1270.49607712,  907.77734431])]","[array([ 1.09063679,  0.98758244, -2.71259676,  1.13822301, -1.77463016,
       -1.80760768])]"
38000,movej_fit,"[array([ 491.93283801, 1257.71310138,  994.12849279])]","[array([ 1.10609162,  0.95386683, -2.741371  ,  1.15291949, -1.76514626,
       -1.78887567])]"
39000,movej_fit,"[array([ 458.73809215, 1236.98523147, 1078.74139994])]","[array([ 1.11796995,  0.92075574, -2.77025172,  1.16623431, -1.7549374 ,
       -1.76945515])]"
40000,movej_fit,"[array([ 428.71356305, 1209.50849795, 1160.32270603])]","[array([ 1.12667531,  0.88853889, -2.79878605,  1.17875567, -1.74353837,
       -1.74925791])]"
41000,movej_fit,"[array([ 401.2545878 , 1176.5256398 , 1237.86411033])]","[array([ 1.13250388,  0.85747319, -2.8265766 ,  1.19094124, -1.7306737 ,
       -1.72822799])]"
42000,movej_fit,"[array([ 376.14222416, 1139.28381249, 1310.46838224])]","[array([ 1.13559726,  0.82782645, -2.85326139,  1.20287205, -1.71645291,
       -1.70657471])]"
