breakpoints,primitives,points,q_bp
0,movej_fit,"[array([1022.36735197, -841.09811283,  972.82895956])]","[array([-0.84899467, -0.23970751,  0.58135615,  0.37814708,  1.20903987,
       -2.87619581])]"
500,movel_fit,"[array([1019.97877182, -825.02772944,  966.25092731])]","[array([-0.84733439, -0.2426201 ,  0.59013218,  0.38665181,  1.21794516,
       -2.88612159])]"
1000,movel_fit,"[array([1017.89324136, -808.72014795,  960.07664847])]","[array([-0.84147344, -0.24342813,  0.59548643,  0.38766698,  1.2289615 ,
       -2.88401077])]"
1500,movel_fit,"[array([1016.11990482, -792.22100851,  954.33007241])]","[array([-0.83378617, -0.2429075 ,  0.59897755,  0.38594312,  1.24132808,
       -2.87711284])]"
2000,movel_fit,"[array([1014.66159094, -775.54558734,  949.02024083])]","[array([-0.82552346, -0.24159382,  0.60155818,  0.38396681,  1.2544992 ,
       -2.86920495])]"
2500,movel_fit,"[array([1013.51958838, -758.71055692,  944.15439384])]","[array([-0.81724208, -0.23983231,  0.60373411,  0.38281282,  1.26808485,
       -2.86191405])]"
3000,movel_fit,"[array([1012.69346461, -741.73363699,  939.73762225])]","[array([-0.80910042, -0.23780385,  0.60571155,  0.38276065,  1.28185539,
       -2.85567572])]"
3500,movel_fit,"[array([1012.18099344, -724.63319367,  935.77264838])]","[array([-0.8010686 , -0.23557535,  0.607529  ,  0.38372359,  1.29570264,
       -2.85038849])]"
4000,movel_fit,"[array([1011.97816825, -707.42783239,  932.25972206])]","[array([-0.79306006, -0.23315853,  0.60915914,  0.38550955,  1.30958167,
       -2.84580196])]"
4500,movel_fit,"[array([1012.0792809 , -690.1360151 ,  929.19661656])]","[array([-0.78499859, -0.23055739,  0.61057277,  0.387949  ,  1.32346082,
       -2.84170342])]"
5000,movel_fit,"[array([1012.47704929, -672.77571998,  926.5787082 ])]","[array([-0.7768412 , -0.22779611,  0.61176864,  0.39093591,  1.33729187,
       -2.83797667])]"
5500,movel_fit,"[array([1013.1627789 , -655.36415315,  924.39912271])]","[array([-0.76857578, -0.22492785,  0.61277811,  0.39442103,  1.3510008 ,
       -2.83459229])]"
6000,movel_fit,"[array([1014.12654571, -637.91751562,  922.64893221])]","[array([-0.7602079 , -0.22202909,  0.61365474,  0.39838613,  1.36449393,
       -2.83157041])]"
6500,movel_fit,"[array([1015.35739026, -620.45082437,  921.31738718])]","[array([-0.75174597, -0.21918555,  0.61445755,  0.40281678,  1.37767253,
       -2.82894076])]"
7000,movel_fit,"[array([1016.84351383, -602.97778368,  920.39216936])]","[array([-0.74319024, -0.21647599,  0.61523493,  0.40768306,  1.39044915,
       -2.82671306])]"
7500,movel_fit,"[array([1018.57247002, -585.51070174,  919.85965314])]","[array([-0.73452737, -0.21395875,  0.61601334,  0.41293093,  1.40276069,
       -2.82486192])]"
8000,movel_fit,"[array([1020.53134583, -568.0604466 ,  919.70516467])]","[array([-0.72573036, -0.21166382,  0.61679266,  0.41848329,  1.41457525,
       -2.82332531])]"
8500,movel_fit,"[array([1022.70692827, -550.63643583,  919.91323015])]","[array([-0.71676232, -0.2095914 ,  0.61754773,  0.42424728,  1.42589243,
       -2.82201242])]"
