breakpoints,primitives,points,q_bp
0.0,movej_fit,"[array([ 980.84796381, -811.20482753, 1058.75754586])]","[array([-0.96162406, -0.67256437,  0.95339658,  1.00602174,  0.72288571,
       -1.73027579])]"
0.0,movel_fit,"[array([1022.36623289, -841.09924221,  972.83691445])]","[array([-0.94173254, -0.58964203,  0.99166816,  1.13181809,  0.64795174,
       -1.88392585])]"
0.0,movel_fit,"[array([1019.97303774, -824.99601351,  966.24334224])]","[array([-0.94029613, -0.59889577,  1.00073689,  1.13096637,  0.65816017,
       -1.86703106])]"
0.0,movel_fit,"[array([1017.88914703, -808.68797632,  960.07158366])]","[array([-0.93302509, -0.60838163,  1.00580707,  1.11117609,  0.66226169,
       -1.83058859])]"
0.0,movel_fit,"[array([1016.11477108, -792.18948101,  954.32585079])]","[array([-0.92312559, -0.61747305,  1.00868861,  1.08334507,  0.66467548,
       -1.78548928])]"
0.0,movel_fit,"[array([1014.65778148, -775.51209415,  949.0154196 ])]","[array([-0.91228535, -0.62592219,  1.0104479 ,  1.05342838,  0.66752735,
       -1.73772485])]"
0.0,movel_fit,"[array([1013.51643145, -758.67755049,  944.15141927])]","[array([-0.90128454, -0.63371858,  1.01165043,  1.02436515,  0.67155732,
       -1.69029553])]"
0.0,movel_fit,"[array([1012.690689  , -741.70040733,  939.73532549])]","[array([-0.89036052, -0.64092679,  1.01253182,  0.99722354,  0.67681076,
       -1.64433927])]"
0.0,movel_fit,"[array([1012.17990638, -724.59978271,  935.77189255])]","[array([-0.87949584, -0.64759744,  1.01313221,  0.97209778,  0.68308871,
       -1.60000616])]"
0.0,movel_fit,"[array([1011.97678948, -707.39519098,  932.25942498])]","[array([-0.86859277, -0.65376194,  1.01342543,  0.9487348 ,  0.6901538 ,
       -1.55709549])]"
0.0,movel_fit,"[array([1012.07861578, -690.10300841,  929.19693548])]","[array([-0.85756055, -0.65943426,  1.01338005,  0.92688502,  0.69781231,
       -1.51541179])]"
0.0,movel_fit,"[array([1012.47676249, -672.74181342,  926.57962929])]","[array([-0.84635902, -0.66463534,  1.01299957,  0.906435  ,  0.70591761,
       -1.47488699])]"
0.0,movel_fit,"[array([1013.16249333, -655.33182656,  924.39999088])]","[array([-0.8349882 , -0.66940533,  1.01232762,  0.88740219,  0.71434057,
       -1.4355944 ])]"
0.0,movel_fit,"[array([1014.12761614, -637.88312466,  922.65136486])]","[array([-0.82346903, -0.67381228,  1.0114375 ,  0.86987559,  0.72296075,
       -1.39766665])]"
0.0,movel_fit,"[array([1015.35948337, -620.416433  ,  921.31986551])]","[array([-0.81182943, -0.67793301,  1.01041125,  0.85393026,  0.73164377,
       -1.36122592])]"
0.0,movel_fit,"[array([1016.84480357, -602.94421745,  920.39457445])]","[array([-0.80008162, -0.68185476,  1.00932216,  0.83957842,  0.74025697,
       -1.32632806])]"
0.0,movel_fit,"[array([1018.57497625, -585.47779227,  919.86595636])]","[array([-0.78821163, -0.68564911,  1.00821562,  0.82674152,  0.74866945,
       -1.2929242 ])]"
0.0,movel_fit,"[array([1020.53401611, -568.02718653,  919.71096012])]","[array([-0.77618806, -0.68936142,  1.00711083,  0.81524853,  0.75677302,
       -1.26087472])]"
0.0,movel_fit,"[array([1022.71065422, -550.60283952,  919.91943544])]","[array([-0.76395854, -0.69301265,  1.00598858,  0.80485858,  0.76448214,
       -1.22996843])]"
0.0,movel_fit,"[array([1025.08979866, -533.21282861,  920.47385588])]","[array([-0.75146722, -0.69659407,  1.00480874,  0.79530116,  0.7717462 ,
       -1.19996098])]"
0.0,movel_fit,"[array([1027.65826291, -515.86547887,  921.35906085])]","[array([-0.7386565 , -0.70007425,  1.00351371,  0.7863005 ,  0.77853902,
       -1.17059931])]"
0.0,movel_fit,"[array([1030.4045239 , -498.56099108,  922.55762292])]","[array([-0.72547403, -0.70340434,  1.00204065,  0.77760876,  0.78486409,
       -1.14165652])]"
0.0,movel_fit,"[array([1033.31418377, -481.30923169,  924.05440006])]","[array([-0.7118849 , -0.70653023,  1.00032848,  0.76901301,  0.79073713,
       -1.11294934])]"
0.0,movel_fit,"[array([1036.3750427 , -464.10845906,  925.83050122])]","[array([-0.69786467, -0.70939955,  0.99833008,  0.76035792,  0.79618779,
       -1.0843399 ])]"
0.0,movel_fit,"[array([1039.57217734, -446.96367686,  927.86901621])]","[array([-0.68340636, -0.71196693,  0.99600879,  0.7515283 ,  0.80124924,
       -1.05573919])]"
0.0,movel_fit,"[array([1042.89620485, -429.87451941,  930.15831907])]","[array([-0.66850997, -0.71419571,  0.99333844,  0.74245434,  0.80595465,
       -1.02709659])]"
